kind,index,T_opt_range,CT_max_range,plateau_lo,plateau_hi,mu_max_ratio,asymmetry
posterior_draw,67,8.882338513581583,4.521153278402409,1.5,7.5,3.2217037548951923,1.9646178677490536
posterior_draw,68,5.474001121618642,4.530658428005822,1.0,3.5,3.0116357049087976,1.208213156785698
posterior_draw,69,8.57427041419778,4.798191981238638,1.5,7.5,3.2410182271833023,1.7869794388644615
posterior_draw,70,8.57044812142588,0.5343052383445723,1.5,7.5,3.218383307154139,16.04035952928243
posterior_draw,71,8.45792088394315,3.7672191368423356,2.0,7.5,3.3853011024765203,2.2451364193887953
posterior_draw,74,26.020840885831326,7.13082096655085,5.5,7.5,9.949067537976473,3.649066637332434
posterior_draw,72,7.040807563816834,3.9966487343853103,1.5,6.5,2.9747825825739347,1.7616778535579058
posterior_draw,75,7.315478078440087,4.767637527889079,1.0,4.5,3.076936211417366,1.5344031578841715
posterior_draw,73,8.998773692187509,2.918674386957882,2.0,8.5,3.170025697027961,3.0831715015551566
posterior_draw,76,5.311488908095882,3.5215768229474733,0.5,2.5,2.9695949474588224,1.508270066262617
posterior_draw,77,25.37634063068921,11.512078280009021,0.0,4.0,3.7282126421921107,2.2043231476939997
posterior_draw,78,5.3286000836520095,4.331586851070263,1.0,3.5,3.0176966830450396,1.2301727442762462
posterior_draw,79,16.797541728702733,9.019631809518728,0.5,2.0,10.586974796116623,1.8623311997032639
posterior_draw,80,8.611284864822338,4.274674725588206,1.5,7.5,3.1007768080280376,2.014488918484296
posterior_draw,85,24.976485148514854,7.501119589637774,4.0,8.0,9.949067537017049,3.329700966642095
posterior_draw,81,9.38659699722994,2.2193669020267848,1.5,7.5,3.181580210184164,4.2294029836427
posterior_draw,82,28.979137745439452,,0.0,7.0,9.94976854124609,inf
posterior_draw,83,7.118448481262792,5.020847611370321,1.0,6.0,3.0487782552095717,1.4177782383082487
posterior_draw,84,23.124999999875143,5.0708545479301605,0.5,7.5,9.949067543456527,4.560375333446389
posterior_draw,86,7.652740939117905,4.431119005918468,1.5,7.0,3.1773949234169305,1.7270447778307116
posterior_draw,87,5.590767369152797,1.3205129366076989,0.5,4.0,2.780620543905569,4.233784625779638
posterior_draw,88,8.904099447281808,3.2712417724106544,1.5,7.5,3.2079649274281024,2.721932546343149
posterior_draw,89,7.877380129137489,2.5332007115365585,1.0,6.5,3.0723826329848047,3.109654948880589
posterior_draw,91,8.450019848282043,3.765560154472446,1.5,7.5,3.284687944468198,2.24402731642615
posterior_draw,92,8.580408362515172,2.7465622474616254,1.0,7.5,3.1639964972365564,3.124053849660677
posterior_draw,93,5.465579753465111,4.890458194838843,1.0,3.5,2.837074701587377,1.1176007514455852
posterior_draw,94,7.976985818072109,3.6006685399463834,1.0,6.5,3.161812686374787,2.2154179785154264
posterior_draw,95,6.834414212503958,3.445993382492361,1.0,5.0,3.0713261298954766,1.9832929010330473
posterior_draw,96,26.877096007361587,9.199919225520567,1.5,7.5,9.949067537021861,2.9214491289015396
posterior_draw,90,8.6135150675536,3.9982850692957257,1.5,7.5,3.122681593191081,2.1543023867157176
posterior_draw,97,8.984341109269149,3.3016186635889895,1.0,7.0,2.930631482360763,2.72119285256972
posterior_draw,98,7.095982324033681,5.0569892173442526,1.5,7.0,3.270579778899023,1.4032029769207683
prior_draw,5,1.5663985755767271,3.7292700483249064e-08,1.0,3.5,16.26895179856485,42002819.72822841
prior_draw,9,6.000055064620156,1.4999202209206999,0.0,7.0,16.268972006338814,4.000249467226415
prior_draw,1,3.389268120510504,3.5068625845474912,0.5,3.0,4.282410895183574,0.9664673304978784
prior_draw,19,19.7064756863598,,0.5,2.5,11.384262103859978,inf
posterior_draw,99,9.382141979211923,2.977369499549269,1.5,7.5,3.2416298312911125,3.151151370574678
prior_draw,8,20.01209622281283,6.519507669468496,0.0,3.0,12.467330588450242,3.0695716973432625
prior_draw,25,1.6047329200871658,1.3716422677014535,0.0,0.5,3.014303495697668,1.169935454654891
prior_draw,13,2.03931984179194,4.498951885992948,0.0,1.0,9.485965168879723,0.453287764232635
prior_draw,29,5.462120123176685,1.2583463653609286,0.5,4.0,2.7195744936272646,4.340712758851573
prior_draw,30,0.00915370267879112,0.4684754548561685,0.0,0.0,1.013139953952114,0.019539343169220024
prior_draw,46,20.414639721098787,0.06375501462530764,0.0,2.0,3.8750345324178674,320.20445514877457
prior_draw,45,2.2899621902390166,0.2385647476145749,0.0,0.5,2.1456753986338746,9.598912719236617
prior_draw,42,1.0022026548844778,10.499760001302775,0.5,11.5,15.439968168291362,0.09545005359742774
prior_draw,39,0.02832861742208337,1.2060528068985334,0.0,0.0,1.3281673921239063,0.023488704026926314
prior_draw,52,1.925742574257427,0.0,4.0,4.5,16.268972066492065,inf
prior_draw,47,0.1403747621164797,4.95941172368871,0.0,0.5,1.560144200633289,0.02830472038568151
prior_draw,51,10.088531874505325,2.622712687689095,0.0,1.0,2.5342513116480374,3.8466020017596576
prior_draw,59,20.37626744196413,14.584441720422056,0.0,1.5,11.70599719044185,1.3971235809069054
prior_draw,60,0.009354292654428775,1.5526851967408106,0.5,0.5,1.497582948440562,0.006024590608620509
prior_draw,61,1.973227983732496,4.753638911641907,0.0,1.0,2.589905541041129,0.4150984162680002
prior_draw,67,3.0590683941981496,4.501498242285976,0.0,12.0,14.839208240250567,0.6795667196894597
prior_draw,70,21.106959608378265,9.320424899160209,0.0,0.5,1.620003543224818,2.2645919941139216
prior_draw,68,1.3302619994512952,0.8425948170791031,0.0,0.5,1.944969209648504,1.5787683148381029
prior_draw,66,4.417065908689818,3.397621550686761,0.5,2.0,7.05329591135185,1.3000464715668514
prior_draw,72,1.3774380492437999,1.000102610489897,0.0,2.5,15.568013806898916,1.3772967241522012
