i,j,t,logl
2,7,0.775,-11.356583192529602
2,7,0.8,-11.373197118169443
2,7,0.8250000000000001,-11.393510822143302
2,7,0.8500000000000001,-11.415743353077234
2,7,0.875,-11.433761214347895
2,7,0.9,-11.460584679578545
2,7,0.925,-11.477384467983386
2,7,0.9500000000000001,-11.488958208552251
2,7,0.9750000000000001,-11.526545093336093
2,7,1.0,-11.542051978712866
2,8,0.0,-8.446559605831304
2,8,0.025,-9.832060093609893
2,8,0.05,-11.538279241418582
2,8,0.07500000000000001,-13.069801227702374
2,8,0.1,-13.831087057181147
2,8,0.125,-14.238164651037987
2,8,0.15000000000000002,-14.502139030728477
2,8,0.17500000000000002,-14.46563860354251
2,8,0.2,-14.902816093766292
2,8,0.225,-15.847666123904872
2,8,0.25,-17.073105891941083
2,8,0.275,-18.327737121219435
2,8,0.30000000000000004,-19.441976245766757
2,8,0.325,-20.428236135820327
2,8,0.35000000000000003,-21.231099827526716
2,8,0.375,-22.353484199920473
2,8,0.4,-23.06295608654484
2,8,0.42500000000000004,-24.34345025849271
2,8,0.45,-25.689307757276524
2,8,0.47500000000000003,-26.846341395767524
2,8,0.5,-27.66315162437234
2,8,0.525,-28.096456682065657
2,8,0.55,-28.14528826456965
2,8,0.5750000000000001,-27.92235715895282
2,8,0.6000000000000001,-27.704501433236608
2,8,0.625,-26.40122994830578
2,8,0.65,-25.7370529338701
2,8,0.675,-25.581895596367026
2,8,0.7000000000000001,-25.76063961949849
2,8,0.7250000000000001,-26.20653777534454
2,8,0.75,-26.712990204020684
2,8,0.775,-27.18498661733351
2,8,0.8,-27.63955473036
2,8,0.8250000000000001,-27.892816742610812
2,8,0.8500000000000001,-28.0858411802499
2,8,0.875,-28.147165733749084
2,8,0.9,-27.957134155608546
2,8,0.925,-27.87382468081998
2,8,0.9500000000000001,-26.801925375864755
2,8,0.9750000000000001,-26.202258022602017
2,8,1.0,-25.96037238967817
3,4,0.0,-8.64104691326264
3,4,0.025,-8.711590836540932
3,4,0.05,-8.794709322515835
3,4,0.07500000000000001,-8.8983219756452
3,4,0.1,-9.022397429999751
3,4,0.125,-9.122850729649688
3,4,0.15000000000000002,-9.073650623700487
3,4,0.17500000000000002,-9.085372936468243
3,4,0.2,-9.104531459251533
3,4,0.225,-9.129003739411235
3,4,0.25,-9.157792346694379
3,4,0.275,-9.189105721523962
3,4,0.30000000000000004,-9.281882519031932
3,4,0.325,-9.317698684370171
3,4,0.35000000000000003,-9.351090161127942
3,4,0.375,-9.374144698851133
3,4,0.4,-9.41877374346035
3,4,0.42500000000000004,-9.465263659254711
3,4,0.45,-9.481034165183743
3,4,0.47500000000000003,-9.419569036715473
3,4,0.5,-9.363172012581359
3,4,0.525,-9.312182275028213
3,4,0.55,-9.256757844080543
3,4,0.5750000000000001,-9.1989474912174
3,4,0.6000000000000001,-9.979445920631456
3,4,0.625,-11.10477822630962
3,4,0.65,-12.608041112347891
