a,b,t,logl
p81(b7),"big(b10,n=64)",0.9750000000000001,-12.017225818701826
p81(b7),"big(b10,n=64)",1.0,-11.986465033676168
p81(b7),p83(b21),0.0,-8.291822949663878
p81(b7),p83(b21),0.025,-8.400768589660943
p81(b7),p83(b21),0.05,-8.70008679370937
p81(b7),p83(b21),0.07500000000000001,-9.428760836336505
p81(b7),p83(b21),0.1,-11.727317142606145
p81(b7),p83(b21),0.125,-11.246129808090267
p81(b7),p83(b21),0.15000000000000002,-10.163861821177111
p81(b7),p83(b21),0.17500000000000002,-10.063214560426271
p81(b7),p83(b21),0.2,-10.357021237008562
p81(b7),p83(b21),0.225,-10.663664804290391
p81(b7),p83(b21),0.25,-10.974786522782171
p81(b7),p83(b21),0.275,-11.257583492786004
p81(b7),p83(b21),0.30000000000000004,-11.42419856718288
p81(b7),p83(b21),0.325,-11.52520507357271
p81(b7),p83(b21),0.35000000000000003,-12.202161293337113
p81(b7),p83(b21),0.375,-12.256410046330721
p81(b7),p83(b21),0.4,-12.274550033369682
p81(b7),p83(b21),0.42500000000000004,-12.290830320102565
p81(b7),p83(b21),0.45,-12.305311089596163
p81(b7),p83(b21),0.47500000000000003,-12.291366398155333
p81(b7),p83(b21),0.5,-12.296919386723431
p81(b7),p83(b21),0.525,-12.250106554084779
p81(b7),p83(b21),0.55,-12.200143872672484
p81(b7),p83(b21),0.5750000000000001,-12.149009405139248
p81(b7),p83(b21),0.6000000000000001,-12.095083925863477
p81(b7),p83(b21),0.625,-11.945331356813913
p81(b7),p83(b21),0.65,-11.893971708635647
p81(b7),p83(b21),0.675,-11.829180424895046
p81(b7),p83(b21),0.7000000000000001,-11.62801021685255
p81(b7),p83(b21),0.7250000000000001,-11.369995179559925
p81(b7),p83(b21),0.75,-11.0996706354546
p81(b7),p83(b21),0.775,-10.791752501211967
p81(b7),p83(b21),0.8,-10.468107628233373
p81(b7),p83(b21),0.8250000000000001,-10.17254893506649
p81(b7),p83(b21),0.8500000000000001,-9.884865701715867
p81(b7),p83(b21),0.875,-9.571025431904168
p81(b7),p83(b21),0.9,-9.262898999170396
p81(b7),p83(b21),0.925,-8.919117570457706
p81(b7),p83(b21),0.9500000000000001,-8.654133988123457
p81(b7),p83(b21),0.9750000000000001,-8.55557422689818
p81(b7),p83(b21),1.0,-8.432798857703837
A(b20),"big(b9,n=3)",0.0,-7.197362474081477
A(b20),"big(b9,n=3)",0.025,-7.840702549273122
A(b20),"big(b9,n=3)",0.05,-8.629979794150124
A(b20),"big(b9,n=3)",0.07500000000000001,-9.404965342574442
A(b20),"big(b9,n=3)",0.1,-9.920048589143043
A(b20),"big(b9,n=3)",0.125,-10.57115477633549
A(b20),"big(b9,n=3)",0.15000000000000002,-11.367175863127265
A(b20),"big(b9,n=3)",0.17500000000000002,-12.206897168674676
A(b20),"big(b9,n=3)",0.2,-13.265919959034711
A(b20),"big(b9,n=3)",0.225,-14.413202664492298
A(b20),"big(b9,n=3)",0.25,-15.51454228454147
A(b20),"big(b9,n=3)",0.275,-16.71304287441695
A(b20),"big(b9,n=3)",0.30000000000000004,-18.03698199553222
A(b20),"big(b9,n=3)",0.325,-19.48370892772613
A(b20),"big(b9,n=3)",0.35000000000000003,-21.04236000589191
A(b20),"big(b9,n=3)",0.375,-22.61118603522294
A(b20),"big(b9,n=3)",0.4,-23.641376201905206
A(b20),"big(b9,n=3)",0.42500000000000004,-24.703708625459306
A(b20),"big(b9,n=3)",0.45,-25.79500753201001
A(b20),"big(b9,n=3)",0.47500000000000003,-26.902096931044962
A(b20),"big(b9,n=3)",0.5,-27.91366987964006
A(b20),"big(b9,n=3)",0.525,-28.43166149649773
A(b20),"big(b9,n=3)",0.55,-28.881192928789858
A(b20),"big(b9,n=3)",0.5750000000000001,-29.249977221182732
A(b20),"big(b9,n=3)",0.6000000000000001,-29.51975146025808
A(b20),"big(b9,n=3)",0.625,-29.659797953193053
A(b20),"big(b9,n=3)",0.65,-29.658821486292112
A(b20),"big(b9,n=3)",0.675,-29.475539192143017
A(b20),"big(b9,n=3)",0.7000000000000001,-29.079745238894766
A(b20),"big(b9,n=3)",0.7250000000000001,-28.41679199863243
A(b20),"big(b9,n=3)",0.75,-27.47460984811177
A(b20),"big(b9,n=3)",0.775,-26.289380569158126
A(b20),"big(b9,n=3)",0.8,-24.896327630434143
A(b20),"big(b9,n=3)",0.8250000000000001,-23.30071905299846
A(b20),"big(b9,n=3)",0.8500000000000001,-21.52150996336352
A(b20),"big(b9,n=3)",0.875,-19.644672178725912
A(b20),"big(b9,n=3)",0.9,-17.744478294562697
A(b20),"big(b9,n=3)",0.925,-15.93602565475231
A(b20),"big(b9,n=3)",0.9500000000000001,-14.096129273956349
A(b20),"big(b9,n=3)",0.9750000000000001,-12.832707520144142
A(b20),"big(b9,n=3)",1.0,-12.359970903643768
A(b20),p50(b19),0.0,-7.197362473926764
A(b20),p50(b19),0.025,-7.465470164359635
A(b20),p50(b19),0.05,-7.634428140505282
A(b20),p50(b19),0.07500000000000001,-7.80430081639335
A(b20),p50(b19),0.1,-7.97801321396708
A(b20),p50(b19),0.125,-8.157859593348554
A(b20),p50(b19),0.15000000000000002,-8.332142511664344
A(b20),p50(b19),0.17500000000000002,-8.50399897195959
A(b20),p50(b19),0.2,-8.620019098870022
A(b20),p50(b19),0.225,-8.602902570412587
A(b20),p50(b19),0.25,-8.588963158675604
A(b20),p50(b19),0.275,-8.576037021161124
A(b20),p50(b19),0.30000000000000004,-8.564127542605723
A(b20),p50(b19),0.325,-8.550083015231731
A(b20),p50(b19),0.35000000000000003,-8.544202641347526
A(b20),p50(b19),0.375,-8.540106789480236
A(b20),p50(b19),0.4,-8.543450438987175
A(b20),p50(b19),0.42500000000000004,-8.543841088803088
A(b20),p50(b19),0.45,-8.541677975752734
A(b20),p50(b19),0.47500000000000003,-8.546966881052985
A(b20),p50(b19),0.5,-8.567678703033177
A(b20),p50(b19),0.525,-8.590493675058735
A(b20),p50(b19),0.55,-8.615720661372475
A(b20),p50(b19),0.5750000000000001,-8.644589071573513
A(b20),p50(b19),0.6000000000000001,-8.673960271017453
A(b20),p50(b19),0.625,-8.629759995861784
A(b20),p50(b19),0.65,-8.574648646068123
A(b20),p50(b19),0.675,-8.524118190910897
A(b20),p50(b19),0.7000000000000001,-8.509035732977203
A(b20),p50(b19),0.7250000000000001,-8.463901477368017
A(b20),p50(b19),0.75,-8.38094395926001
A(b20),p50(b19),0.775,-8.342329908083276
A(b20),p50(b19),0.8,-8.30555246644423
A(b20),p50(b19),0.8250000000000001,-8.274139816018806
A(b20),p50(b19),0.8500000000000001,-8.243699853684834
A(b20),p50(b19),0.875,-8.215993377626496
A(b20),p50(b19),0.9,-8.19030163643049
A(b20),p50(b19),0.925,-8.174261626494095
A(b20),p50(b19),0.9500000000000001,-8.159869136307348
A(b20),p50(b19),0.9750000000000001,-8.137995866377935
A(b20),p50(b19),1.0,-8.116550991557974
A(b20),p38(b22),0.0,-7.1973624741253035
A(b20),p38(b22),0.025,-7.288503824833702
A(b20),p38(b22),0.05,-7.2823656460935435
A(b20),p38(b22),0.07500000000000001,-7.276440068432043
A(b20),p38(b22),0.1,-7.270652020596324
A(b20),p38(b22),0.125,-7.265018775960328
A(b20),p38(b22),0.15000000000000002,-7.259555012992324
A(b20),p38(b22),0.17500000000000002,-7.254356583900629
A(b20),p38(b22),0.2,-7.24948156579454
A(b20),p38(b22),0.225,-7.245196958090775
A(b20),p38(b22),0.25,-7.240834121622337
A(b20),p38(b22),0.275,-7.237096740916369
A(b20),p38(b22),0.30000000000000004,-7.236646445716563
A(b20),p38(b22),0.325,-7.2403111186533735
A(b20),p38(b22),0.35000000000000003,-7.23681439123561
A(b20),p38(b22),0.375,-7.2333015646689836
A(b20),p38(b22),0.4,-7.2303205023541315
A(b20),p38(b22),0.42500000000000004,-7.227557992064405
A(b20),p38(b22),0.45,-7.224035600851418
A(b20),p38(b22),0.47500000000000003,-7.220429326982662
A(b20),p38(b22),0.5,-7.2175385899936115
A(b20),p38(b22),0.525,-7.21492408229325
A(b20),p38(b22),0.55,-7.21247180257903
A(b20),p38(b22),0.5750000000000001,-7.210495562848679
A(b20),p38(b22),0.6000000000000001,-7.208636369075515
A(b20),p38(b22),0.625,-7.20702417176221
A(b20),p38(b22),0.65,-7.2055722552905985
A(b20),p38(b22),0.675,-7.2042116112467705
A(b20),p38(b22),0.7000000000000001,-7.203034425540476
A(b20),p38(b22),0.7250000000000001,-7.202083753705418
A(b20),p38(b22),0.75,-7.197374495481805
A(b20),p38(b22),0.775,-7.196132153836816
A(b20),p38(b22),0.8,-7.195656777265986
A(b20),p38(b22),0.8250000000000001,-7.195442055187453
A(b20),p38(b22),0.8500000000000001,-7.195453223368996
