point,axis,k_0p02,k_0p04,rel_diff,per_datum_reconciles,top_datum,top_share,top3,clip_moves_T,topt_moves_T,tm_moves_T,status_moves_T,scored_moves_T,carrying_interval,carrying_datum,carrying_excess,moves_at_carrying_T,o2_at_carrying_T,growth_at_carrying_T,carrying_side,refinement,refinement_plus,ratios_plus,refinement_minus,ratios_minus,ratios,refine_deltas_plus,refine_deltas_minus,classification,provenance
red2_top_weight_living,tm_scale,0.2986505565516495,0.29830639965311434,0.00034415689853517506,True,growth@50C,0.9035298334086564,growth@50C:+0.000;growth@45C:+0.000;resp@45C:-0.000,50,,50,,,+0.02->+0.04,growth@50C,-0.0006675587230685898,clipped_low;past_Tm,nan;nan;17.4065;nan;nan,nan;nan;0.37647;nan;nan,plus,NOT_RUN(plus side),NOT_RUN,,NOT_RUN,,,,,UNDETERMINED(refinement NOT_RUN(plus side)),"sample 6260, weight rank 49"
red2_top_weight_living,kcat_scale,53.362375747258994,51.086730998890495,0.0426451168356272,True,growth@45C,1.1136509807382715,growth@45C:+2.534;resp@47C:+1.774;resp@45C:-1.609,,,,,,+0.02->+0.04,growth@47C,-0.008757584088127546,none,nan;nan;22.9961;nan;nan,nan;nan;1.17910;nan;nan,plus,NOT_RUN(plus side),NOT_RUN,,NOT_RUN,,,,,UNDETERMINED(refinement NOT_RUN(plus side)),"sample 6260, weight rank 49"
red2_top_weight_living,sigma,1.6926319821042313,1.7327381517051599,0.023146122546826114,True,resp@25C,1.3252935776695083,resp@25C:-0.053;growth@25C:+0.015;growth@43C:-0.003,,,,,,-0.04->-0.02,growth@47C,0.00023488204516741717,none,nan;nan;22.9961;nan;nan,nan;nan;1.17910;nan;nan,minus,NOT_RUN(minus side),NOT_RUN,,NOT_RUN,,,,,UNDETERMINED(refinement NOT_RUN(minus side)),"sample 6260, weight rank 49"
red2_top_weight_living,clearance_mult,-0.9420395362891298,-1.3629487747190971,0.3088224929926045,True,resp@45C,0.5843231129955867,resp@45C:+0.246;resp@25C:+0.193;growth@25C:-0.043,,,,,,+0.02->+0.04,resp@45C,0.0006116630916118693,none,nan;nan;26.8085;nan;nan,nan;nan;1.39215;nan;nan,plus,NOT_RUN(plus side),NOT_RUN,,NOT_RUN,,,,,UNDETERMINED(refinement NOT_RUN(plus side)),"sample 6260, weight rank 49"
red2_wmedian_logl_living,dTopt,0.8231292967941783,0.7865435296561252,0.03658576713805317,True,growth@25C,0.9919829056116097,growth@25C:+0.036;resp@25C:+0.001;resp@20C:-0.000,,35;37;40,,,,+0.02->+0.04,growth@25C,-0.00014147430325904542,none,nan;nan;15.5769;nan;nan,nan;nan;0.75214;nan;nan,plus,NOT_RUN(plus side),NOT_RUN,,NOT_RUN,,,,,UNDETERMINED(refinement NOT_RUN(plus side)),sample 6241 among 5 living of the top-100-weight
red2_wmedian_logl_living,topt_scale,15.613306764139523,1081.5717232500099,0.9855642428250406,True,resp@15C,0.991970924631095,resp@15C:-1057.400;resp@20C:-8.611;resp@45C:-1.080,,35;37;40;43;45,,15,15,-0.04->-0.02,resp@15C,1.6918396096316588,status;scored,nan;nan;nan;nan;nan,nan;nan;0.00000;nan;nan,minus,NOT_RUN(minus side),NOT_RUN,,NOT_RUN,,,,,UNDETERMINED(refinement NOT_RUN(minus side)),sample 6241 among 5 living of the top-100-weight
red2_wmedian_logl_living,dCp_scale,-3.0001324513850847,1060.2711979459166,1.0028295896910124,True,resp@15C,0.991390793314573,resp@15C:-1054.117;resp@20C:-10.097;growth@50C:+0.521,,,,15,15,-0.04->-0.02,resp@15C,1.6865878524019557,status;scored,nan;nan;nan;nan;nan,nan;nan;0.00000;nan;nan,minus,NOT_RUN(minus side),NOT_RUN,,NOT_RUN,,,,,UNDETERMINED(refinement NOT_RUN(minus side)),sample 6241 among 5 living of the top-100-weight
red2_wmedian_logl_living,tm_scale,-1.2037768895911682,-2.532740479164186,0.5247136848429022,True,growth@50C,0.9560304910892125,growth@50C:+1.271;growth@45C:-0.119;resp@50C:+0.077,47,,43;47,,,-0.04->-0.02,growth@50C,-0.0025635965409671058,none,nan;nan;16.8238;nan;nan,nan;nan;0.44238;nan;nan,minus,NOT_RUN(minus side),NOT_RUN,,NOT_RUN,,,,,UNDETERMINED(refinement NOT_RUN(minus side)),sample 6241 among 5 living of the top-100-weight
red2_wmedian_logl_living,kcat_scale,35.67278114523731,34.594556857694414,0.030225405839624287,True,resp@45C,3.107173889828703,resp@45C:+3.350;resp@47C:-2.940;growth@45C:-1.391,,,,,,-0.04->-0.02,growth@47C,0.006995376108781537,none,nan;nan;21.9377;nan;nan,nan;nan;1.14238;nan;nan,minus,NOT_RUN(minus side),NOT_RUN,,NOT_RUN,,,,,UNDETERMINED(refinement NOT_RUN(minus side)),sample 6241 among 5 living of the top-100-weight
red2_wmedian_logl_living,sigma,1.4902141218353648,1.6697697397960454,0.10753316081929501,True,resp@45C,1.341529124654272,resp@45C:-0.241;resp@47C:+0.049;growth@40C:-0.045,,,,,,+0.02->+0.04,resp@45C,-0.00039098950313598557,none,nan;nan;26.5523;nan;nan,nan;nan;1.35558;nan;nan,plus,NOT_RUN(plus side),NOT_RUN,,NOT_RUN,,,,,UNDETERMINED(refinement NOT_RUN(plus side)),sample 6241 among 5 living of the top-100-weight
red2_wmedian_logl_living,clearance_mult,2.046779314426317,1.2022125944977091,0.41263203803939547,True,growth@50C,1.9173411695782665,growth@50C:+1.619;resp@45C:-1.045;growth@30C:+0.461,,,,,,+0.02->+0.04,growth@40C,-0.0036397068884079786,none,nan;nan;35.8213;nan;nan,nan;nan;1.54721;nan;nan,plus,NOT_RUN(plus side),NOT_RUN,,NOT_RUN,,,,,UNDETERMINED(refinement NOT_RUN(plus side)),sample 6241 among 5 living of the top-100-weight
