label,t1_n_structural_zero,expected,ll_old,ll_new,verdict,diff
red2_6800:163,12,NEG_INF,-18.750680462238087,-inf,OK,
red2_6800:164,12,NEG_INF,-18.734489428043933,-inf,OK,
red2_6800:165,12,NEG_INF,-18.70071095113595,-inf,OK,
red2_6800:166,12,NEG_INF,-18.69922845661167,-inf,OK,
red2_6800:167,12,NEG_INF,-18.74177429357484,-inf,OK,
red2_6800:168,12,NEG_INF,-18.702969154537865,-inf,OK,
red2_6800:169,12,NEG_INF,-18.761008299570506,-inf,OK,
red2_6800:170,12,NEG_INF,-18.690142078380468,-inf,OK,
red2_6800:171,12,NEG_INF,-18.755032848240756,-inf,OK,
red2_6800:172,12,NEG_INF,-18.705139042768938,-inf,OK,
red2_6800:173,12,NEG_INF,-18.68279939230689,-inf,OK,
red2_6800:174,12,NEG_INF,-18.70696713644677,-inf,OK,
red2_6800:175,12,NEG_INF,-18.70252132912787,-inf,OK,
red2_6800:176,12,NEG_INF,-18.74501137334478,-inf,OK,
red2_6800:177,12,NEG_INF,-18.68473492803148,-inf,OK,
red2_6800:178,12,NEG_INF,-18.73894604791727,-inf,OK,
red2_6800:179,12,NEG_INF,-18.682687298341634,-inf,OK,
red2_6800:180,12,NEG_INF,-18.68301755273934,-inf,OK,
red2_6800:181,12,NEG_INF,-18.747508709210585,-inf,OK,
red2_6800:182,12,NEG_INF,-18.77499081611143,-inf,OK,
red2_6800:183,12,NEG_INF,-18.70787070511645,-inf,OK,
red2_6800:184,12,NEG_INF,-18.697595875805593,-inf,OK,
red2_6800:185,12,NEG_INF,-18.717138997508723,-inf,OK,
red2_6800:186,12,NEG_INF,-18.74676790807247,-inf,OK,
red2_6800:187,12,NEG_INF,-18.767942502963603,-inf,OK,
red2_6800:188,12,NEG_INF,-18.737286219279095,-inf,OK,
red2_6800:189,12,NEG_INF,-18.71122335006484,-inf,OK,
red2_6800:190,12,NEG_INF,-18.70025749129066,-inf,OK,
red2_6800:191,12,NEG_INF,-18.69821446027016,-inf,OK,
red2_6800:192,12,NEG_INF,-18.70569567676263,-inf,OK,
red2_6800:193,12,NEG_INF,-18.741547483762886,-inf,OK,
red2_6800:194,12,NEG_INF,-18.700107361398462,-inf,OK,
red2_6800:195,12,NEG_INF,-18.746264292551945,-inf,OK,
red2_6800:196,12,NEG_INF,-18.684732202500847,-inf,OK,
red2_6800:197,12,NEG_INF,-18.722973061761753,-inf,OK,
red2_6800:198,12,NEG_INF,-18.691928954684514,-inf,OK,
red2_6800:199,12,NEG_INF,-18.68289778590829,-inf,OK,
red2_6800:200,12,NEG_INF,-18.742615321573208,-inf,OK,
red2_6800:201,12,NEG_INF,-18.75255094602935,-inf,OK,
red2_6800:202,12,NEG_INF,-18.68258848928799,-inf,OK,
red2_6800:203,12,NEG_INF,-18.706359625052748,-inf,OK,
red2_6800:204,12,NEG_INF,-18.692953257210508,-inf,OK,
red2_6800:205,12,NEG_INF,-18.685985339297385,-inf,OK,
red2_6800:206,12,NEG_INF,-18.76654135273557,-inf,OK,
red2_6800:207,12,NEG_INF,-18.72389220639922,-inf,OK,
red2_6800:208,12,NEG_INF,-18.709367622747735,-inf,OK,
red2_6800:209,12,NEG_INF,-18.69193578791255,-inf,OK,
red2_6800:210,12,NEG_INF,-18.68250304666242,-inf,OK,
red2_6800:211,12,NEG_INF,-18.723021418696185,-inf,OK,
red2_6800:212,12,NEG_INF,-18.68645773211936,-inf,OK,
red2_6800:213,12,NEG_INF,-18.693580861095835,-inf,OK,
red2_6800:214,12,NEG_INF,-18.683004543354947,-inf,OK,
red2_6800:215,12,NEG_INF,-18.759379278148305,-inf,OK,
red2_6800:216,12,NEG_INF,-18.76607027397356,-inf,OK,
red2_6800:217,12,NEG_INF,-18.688533484526175,-inf,OK,
red2_6800:218,12,NEG_INF,-18.682972309494794,-inf,OK,
red2_6800:219,12,NEG_INF,-18.685543532372296,-inf,OK,
red2_6800:220,12,NEG_INF,-18.682575362963803,-inf,OK,
red2_6800:221,12,NEG_INF,-18.68250315500159,-inf,OK,
red2_6800:222,12,NEG_INF,-18.77962909523635,-inf,OK,
red2_6800:223,12,NEG_INF,-18.749620464791462,-inf,OK,
red2_6800:224,12,NEG_INF,-18.68251401547477,-inf,OK,
red2_6800:225,12,NEG_INF,-18.76093511720437,-inf,OK,
red2_6800:226,12,NEG_INF,-18.69574256105892,-inf,OK,
red2_6800:227,12,NEG_INF,-18.756655698220374,-inf,OK,
