label,ll_production,ll_validation_1,ll_validation_2,ll_production_repeat,diag_1,diag_2,perturbation_identical,max_diff_same_instance,repeat_floor,inert_1e12,within_repeat_floor
P12:p38(b22),-60.30922856348017,-60.30922856349615,-60.30922856349629,-60.30922856348576,"[0.3247174385055188, 0.649124908153892]","[0.23941750429292732, 0.4531790577462082]",True,1.6122214674396673e-11,5.5919713304319885e-12,False,False
"P12:big(b10,n=64)",-58.05124899191753,-58.05124899505426,-58.051248991920225,-58.05124899521091,"[0.2976814425657956, 0.78142687413209]","[0.28502045832951683, 0.40718459638943205]",True,3.1367264341497503e-09,3.2933797911027796e-09,False,True
P12:p83(b21),-88.57317741181384,-88.5731774118963,-88.57317741187966,-88.57317741193121,"[0.3135851183220629, 0.8618392643277573]","[0.2795000326050392, 0.685609754547837]",True,8.245137905760203e-11,1.1736744909285335e-10,False,True
prior17303:0,-200.70851834369324,-200.70851835426157,-200.70851832371824,-200.7085181942076,"[0.25911224507081654, 0.7916918541904793]","[0.30941921169656067, 0.7610206841638999]",True,1.997500476136338e-08,1.4948562920835684e-07,False,True
prior17303:1,-37.16417080448331,-37.16417080449021,-37.16417080448651,-37.16417080449028,"[0.29984515518975097, 0.9263821212532048]","[0.24040657248352398, 0.6111504474079017]",True,6.899369964230573e-12,6.970424237806583e-12,False,True
prior17303:2,-41.71230042429333,-41.71230043368032,-41.712300435623334,-41.71230043411454,"[0.25745920241441184, 0.8349083719132022]","[0.2899547600461804, 0.37090508515901427]",True,1.1330001825626823e-08,9.821206958804396e-09,False,False
prior17303:3,-56.78178219304883,-56.78178219304827,-56.781782193043526,-56.78178219305407,"[0.3116370079722522, 0.7412200817273571]","[0.2316494802274085, 0.7594310837282069]",True,5.300648808770347e-12,5.243805389909539e-12,False,False
prior17303:4,-87.27160227007096,-87.27160227020426,-87.27160227033254,-87.27160227048756,"[0.2585435876991935, 0.7740412956406449]","[0.2659016727611716, 0.7986209466525915]",True,2.615792027427233e-10,4.1660541683086194e-10,False,True
prior17303:5,-81.86220715372981,-81.86220715365874,-81.86220715371928,-81.86220715372441,"[0.3346635921518471, 0.8478631980335137]","[0.2897373780085171, 0.7761126213586929]",True,7.106848443072522e-11,5.4001247917767614e-12,False,False
prior17303:6,-94.92586454354284,-94.92586454343474,-94.92586454357962,-94.92586454352762,"[0.2625079468744373, 0.7924014019039403]","[0.28267242642220325, 0.9874322826580938]",True,1.0810197181854164e-10,1.5219825399981346e-11,False,False
prior17303:7,-inf,-inf,-inf,-inf,"[0.2571941252149983, 0.9028701912709665]","[0.3582353646833377, 0.7222861291971814]",True,0.0,0.0,True,True
prior17303:8,-50.43642843274645,-50.43642843279093,-50.436428432760174,-50.43642844527822,"[0.24107954544228077, 0.8895385126025783]","[0.2644379360555324, 0.35292381521404104]",True,4.447997525858227e-11,1.2531764070899953e-08,False,True
prior17303:9,-inf,-inf,-inf,-inf,"[0.330516820017894, 0.7785414587061054]","[0.26742797286986475, 0.8478210921418128]",True,0.0,0.0,True,True
prior17303:10,-38.87168607287229,-38.871686072875285,-38.871686072874496,-38.871686072883506,"[0.25445116833208453, 0.3909526716214275]","[0.26931907507717456, 0.9821366366672267]",True,2.9913849175500218e-12,1.1212364370294381e-11,False,True
prior17303:11,-61.87109267630461,-61.87109267404338,-61.87109267910162,-61.8710926726594,"[0.28087138819169516, 0.6959689393582545]","[0.25839080748635634, 0.9462750753264632]",True,2.7970088467554888e-09,3.6452121321417508e-09,False,True
