rxn_id,enzyme_id,group,u_sub_27C,u_opt_37C,u_supra_44.65C
ARGSLNo1,P11447,default,1.220623498323736e-05,6.818191221770751e-06,6.220814542650379e-06
GLU5KNo1,P0A7B5,default,0.0007534267907795592,0.0005953879139926956,0.0006356189603886795
IPPSNo1,P09151,default,0.0029694759157098414,0.0024427591749736056,0.0025875551021949162
MOHMTNo1,P31057,default,0.00011458786034566344,4.3173032010095415e-05,3.084305504230517e-05
SPODMNo1,P00448,default,0.00010817056571347615,6.867296357532708e-05,6.532266238873437e-05
AHCYSNSNo1,P0AF12,default,8.510162794584699e-06,5.2020927235586696e-06,5.517433436127377e-06
TMKNo1,P75948,default,2.517243760388754e-07,1.536527685410007e-07,1.4301185528336634e-07
GMPSNo1,P04079,default,0.01435190695002146,0.007817401005538677,0.0074391512883347005
CATNo1,P21179,default,0.0006843299604506094,0.00046911781023974944,0.0004741817411322666
CHRPLNo1,P26602,default,4.814582507124622e-06,3.230830934971943e-06,3.0390560118465866e-06
ACACT7rNo2,P21151,default,0.012214824617106127,0.00996285043069582,0.010308749771716608
ADK3No1,P69441,default,0.0004974283395031159,0.0001258857870808031,0.0002146258400632789
ACACT2rNo2,P21151,default,0.015633583827487023,0.012751313445047133,0.013194025191898417
ADSKNo1,P0A6J1,default,3.444508991108004e-05,2.5187142390074664e-05,2.5870431496982277e-05
ACACT3rNo2,P21151,default,0.015633583827487016,0.012751313445047133,0.013194025191898417
ACACT4rNo2,P21151,default,0.015633583827487012,0.012751313445047135,0.013194025191898417
CYSTLNo1,P06721,default,0.00022014448240296604,0.00017918331658783125,0.0002221907297739868
SHSL1No1,P00935,default,7.504468334219516e-05,6.435916199200126e-05,7.141590147173409e-05
THMabcppNo1,P31548,default,4.937098106349327e-08,2.740957298041329e-08,2.3899382276706282e-08
GTPCINo1,P0A6T5,default,0.008475402825004072,0.005904559774302136,0.006081544661820019
UDCPDPNo1,P75806,default,0.00012836326442943648,8.688336179588741e-05,8.728992539836052e-05
CYTK1No1,P0A6I0,default,7.082997649532382e-05,5.031164532186815e-05,5.4726813605065865e-05
GK1No1,P60546,default,0.00010293094938862083,7.786513834544164e-05,0.0001046814079924394
HACD1No1,P21177,default,9.872471012195094e-07,7.601029734840862e-07,8.521369095876933e-07
HACD2No2,P77399,default,6.1083194955190666e-06,4.279387700768272e-06,4.529307696423533e-06
ECOAH5No1,P77399,default,6.108319495519065e-06,4.279387700768273e-06,4.529307696423534e-06
DHFSNo1,P08192,default,5.189669135682203e-06,3.5178977162934736e-06,4.673166827774503e-06
METSNo1,P13009,default,0.004184093628427792,0.003082635855680102,0.010603976844103984
ASPO6No1,P10902,default,4.512702428106568e-05,3.107544785606855e-05,3.115306700372976e-05
ACACT5rNo1,P21151,default,0.015633583827487012,0.012751313445047135,0.013194025191898417
PRASCSiNo1,P0A7D7,default,0.0002514687982548984,0.00019354377303669543,0.0009241477134976949
DHPS2No1,P0AC13,default,0.00045266046576048836,0.00024815340941563153,0.00023261986811450565
QULNSNo1,P11458,default,0.00019313592466148327,0.0001386304676569809,0.00013396454476744928
ACACT6rNo2,P21151,default,0.012214824617106127,0.00996285043069582,0.010308749771716608
PHEMEabcppNo1,P0ABL8,default,0.0,7.180446195029918e-06,9.692011570572076e-07
R15BPKNo1,P16690,default,0.014430405444630515,0.007630587237031983,0.00768106237566881
FACOAE160No1,P0AGG2,default,5.213104808296029e-05,5.183790654378041e-05,6.78508358401406e-05
MOBDabcppNo1,P09833,default,1.554345410667858e-09,1.1758012337176664e-09,1.266567863738718e-09
DNTPPANo1,P0AFC0,default,2.2876249789237624e-06,1.3187555419394302e-06,1.2467140241895532e-06
ACGKNo1,P0A6C8,default,0.00032332443426428257,0.00022354553158322832,0.00022429922259031948
HMBSNo1,P06983,default,0.0006242415769788705,0.048149536919273206,0.006604567710812532
MEPCTNo1,Q46893,default,1.7698407892379021e-06,1.0970794080553723e-06,1.0504738701397634e-06
