rank,rxn_id,enzyme_id,group,thermal_screen,"CC[Topt_C,Topt_i]","CC[Topt_C,dCp_i]","CC[CT_max_C,Topt_i]","CC[CT_max_C,dCp_i]","CC[niche_width_C,Topt_i]","CC[niche_width_C,dCp_i]"
55,GMPSNo1,P04079,default,0.0003786245049361758,0.0,-0.0,0.009747681621455229,0.05363539499607375,0.009747681621455229,0.05363539499607375
56,AGPR_REVNo1,P11446,default,0.00045639883425594563,0.0,-0.0,0.011749821223773438,0.0646482396945671,0.011749821223773438,0.0646482396945671
57,ACACT6rNo2,P21151,default,0.0005147089371813581,0.0,-0.0,0.012317444054609439,0.050043893573685314,0.012317444054609439,0.050043893573685314
58,ACACT7rNo2,P21151,default,0.0005147089371813585,0.0,-0.0,0.012317444054609439,0.05004389357364349,0.012317444054609439,0.05004389357364349
59,PAPSRNo2,P0AA25,default,0.0005524531886071169,0.0,-0.0,0.014223007886990047,0.07824743099042117,0.014223007886990047,0.07824743099042117
60,EDANo1,P0A955,default,0.0005859770598891719,0.0,-0.0,0.029642791607614072,0.16300994671784041,0.029642791607614072,0.16300994671784041
61,HSDy_REVNo1,P00562,default,0.0005891969638983823,0.0,-0.0,0.007061695371817223,0.036576537071235704,0.007061695371817223,0.036576537071235704
62,HEX1No1,P0A6V8,default,0.0006371451023984663,0.0,-0.0,0.03211471056204829,0.17659033965498153,0.03211471056204829,0.17659033965498153
63,ACACT2rNo2,P21151,default,0.0006587687968038869,0.0,-0.0,0.015765389278087127,0.0640605702799566,0.015765389278087127,0.0640605702799566
64,ACACT3rNo2,P21151,default,0.0006587687968038869,0.0,-0.0,0.015765389278428188,0.06406057028041663,0.015765389278428188,0.06406057028041663
65,ACACT5rNo1,P21151,default,0.0006587687968038872,0.0,-0.0,0.015765389278087127,0.0640605702799566,0.015765389278087127,0.0640605702799566
66,ACACT4rNo2,P21151,default,0.0006587687968038872,0.0,-0.0,0.015765389278577402,0.06406057028139943,0.015765389278577402,0.06406057028139943
67,PRFGSNo1,P15254,default,0.0007921985946710442,0.0,-0.0,0.020393679186227587,0.11218010964365513,0.020393679186227587,0.11218010964365513
68,ENONo1,P0A6P9,default,0.0008504067541858942,0.0,-0.0,0.043136266615064756,0.23671728232076109,0.043136266615064756,0.23671728232076109
69,ACGSNo1,P0A6C5,default,0.0011826935032274786,0.0,-0.0,0.030444216028939763,0.16741940460695479,0.030444216028939763,0.16741940460695479
70,ACONTaNo1,P36683,default,0.0012024762313100888,0.0,-0.0,0.018870418494536523,0.08783643337431142,0.018870418494536523,0.08783643337431142
71,ACONTbNo1,P36683,default,0.001225602980297144,0.0,-0.0,0.019233496364478242,0.08952880554676855,0.019233496364478242,0.08952880554676855
72,ARGSSNo1,P0A6E4,default,0.0013616707332346537,0.0,-0.0,0.03505028611391481,0.19272540817094527,0.03505028611391481,0.19272540817094527
73,THRSNo1,P00934,default,0.0016479628414275084,0.0,-0.0,0.04241759849032434,0.2328449570412398,0.04241759849032434,0.2328449570412398
