rxn_id,enzyme_id,group,u_sub_26.6C,u_opt_36.6C,u_supra_44.6C
ADSKNo1,P0A6J1,default,3.935587937406272e-05,3.9347352409130734e-05,3.982839350219693e-05
ACACT3rNo2,P21151,default,0.02015561176900118,0.020169930615903636,0.020397603854389965
ACACT4rNo2,P21151,default,0.020155611769001186,0.020169930615903636,0.020397603854389972
CYSTLNo1,P06721,default,0.00028478229900795416,0.0002847205972059495,0.0002882014491289514
SHSL1No1,P00935,default,0.00010251647995659585,0.00010249426842318759,0.00010374731219606033
THMabcppNo1,P31548,default,3.794373121149182e-08,3.793551020689043e-08,3.8399290821814485e-08
GMHEPKNo1,P76658,default,0.0,5.886808464208797e-08,1.0118588611019375e-23
GTPCINo1,P0A6T5,default,0.00920657820706697,0.009204583481737411,0.009317114125561174
UDCPDPNo1,P75806,default,0.00013414912003328127,0.0001338545948561706,0.00013575973972976963
ATPS4rppNo2,P0A6E6,default,0.062106408399957555,0.0,0.03479514932590935
CYTK1No1,P0A6I0,default,7.971155486695346e-05,7.950055556730632e-05,8.066858686443955e-05
GK1No1,P60546,default,0.00012367990281692324,0.0001236531059517313,0.0001251648271122693
HACD1No1,P21177,default,1.2076041820735337e-06,1.2084620820767713e-06,1.2221029061853781e-06
HACD2No2,P77399,default,6.729514144860689e-06,6.734294891973332e-06,6.810309963922493e-06
ECOAH5No1,P77399,default,6.729514144860696e-06,6.734294891973332e-06,6.8103099639225e-06
DHFSNo1,P08192,default,5.5799630415004305e-06,5.5787540696797905e-06,5.646957132690851e-06
METSNo1,P13009,default,0.004888167925605757,0.004887108840225234,0.004946856193846131
ASPO6No1,P10902,default,4.803976862818541e-05,4.80293601853665e-05,4.8616543172446654e-05
ACACT5rNo1,P21151,default,0.020155611769001196,0.020169930615903636,0.02039760385438998
PRASCSiNo1,P0A7D7,default,0.0003028688151338612,0.00030280319465205303,0.0003065051153868253
DHPS2No1,P0AC13,default,0.0003644902805335335,0.00036441130895705794,0.0003688664197499538
QULNSNo1,P11458,default,0.00021122309753900397,0.00021117733329834368,0.00021375908198063243
ACACT6rNo2,P21151,default,0.015747973434982004,0.015747675734874303,0.015937046581252837
GLCTR1No1,P25740,default,0.0,6.178434504839438e-07,1.0619852402995766e-22
GLCTR3No1,P27129,default,0.0,5.704455031739183e-07,9.805148930384863e-23
HEPT4No1,P27242,default,0.0,6.358715727913641e-08,1.0929730249651535e-23
