rxn_id,enz,sub,bigg,mnx,Temp_C,Temp_K
DMSOR2No1,P18775,Dimethyl sulfoxide,dmso,MNXM745,17.5,290.65
DMSOR2No1,P18775,Dimethyl sulfoxide,dmso,MNXM745,23.75,296.9
DMSOR2No1,P18775,Dimethyl sulfoxide,dmso,MNXM745,30.0,303.15
DMSOR2No1,P18775,Dimethyl sulfoxide,dmso,MNXM745,36.25,309.4
DMSOR2No1,P18775,Dimethyl sulfoxide,dmso,MNXM745,42.5,315.65
DMSOR2No1,P18775,Dimethyl sulfoxide,dmso,MNXM745,48.75,321.9
DMSOR2No1,P18775,Dimethyl sulfoxide,dmso,MNXM745,55.0,328.15
ADSKNo1,P0A6J1,Adenosine 5'-phosphosulfate,aps,MNXM287,5.0,278.15
ADSKNo1,P0A6J1,Adenosine 5'-phosphosulfate,aps,MNXM287,11.25,284.4
ADSKNo1,P0A6J1,Adenosine 5'-phosphosulfate,aps,MNXM287,17.5,290.65
ADSKNo1,P0A6J1,Adenosine 5'-phosphosulfate,aps,MNXM287,23.75,296.9
ADSKNo1,P0A6J1,Adenosine 5'-phosphosulfate,aps,MNXM287,30.0,303.15
ADSKNo1,P0A6J1,Adenosine 5'-phosphosulfate,aps,MNXM287,36.25,309.4
ADSKNo1,P0A6J1,Adenosine 5'-phosphosulfate,aps,MNXM287,42.5,315.65
ADSKNo1,P0A6J1,Adenosine 5'-phosphosulfate,aps,MNXM287,48.75,321.9
ADSKNo1,P0A6J1,Adenosine 5'-phosphosulfate,aps,MNXM287,55.0,328.15
ACACT3rNo1,P76503,Hexanoyl-CoA (n-C6:0CoA),hxcoa,MNXM162502,5.0,278.15
ACACT3rNo1,P76503,Hexanoyl-CoA (n-C6:0CoA),hxcoa,MNXM162502,11.25,284.4
ACACT3rNo1,P76503,Hexanoyl-CoA (n-C6:0CoA),hxcoa,MNXM162502,17.5,290.65
ACACT3rNo1,P76503,Hexanoyl-CoA (n-C6:0CoA),hxcoa,MNXM162502,23.75,296.9
ACACT3rNo1,P76503,Hexanoyl-CoA (n-C6:0CoA),hxcoa,MNXM162502,30.0,303.15
ACACT3rNo1,P76503,Hexanoyl-CoA (n-C6:0CoA),hxcoa,MNXM162502,36.25,309.4
ACACT3rNo1,P76503,Hexanoyl-CoA (n-C6:0CoA),hxcoa,MNXM162502,42.5,315.65
ACACT3rNo1,P76503,Hexanoyl-CoA (n-C6:0CoA),hxcoa,MNXM162502,48.75,321.9
ACACT3rNo1,P76503,Hexanoyl-CoA (n-C6:0CoA),hxcoa,MNXM162502,55.0,328.15
