T,OTU,Replicate,r,K,O2_0,T_end_min,fit_start_time,fit_end_time,delta_Ninoc_to_N0_min,N_inoculation_cells_per_L,otu_name,cell_volume_um3,cell_carbon_fg,N0_cells_per_L,C_tot_O2_mg_per_L,biomass_integral_cells_min_per_L,R_O2_mg_cell_min,growth_fgC_h,respiration_fgC_h,growth_C_per_C_h,respiration_C_per_C_h,CUE,resp_over_growth
40,1,R2,0.012121713451889891,0.004715900459115345,8.437535624794213,216.64999999999998,63.7,281.2,0,400000000,Ecoli_M9,2,350,400000000,4.987847583222644,423066400698.2296,1.1789751147788362e-11,254.55598248968772,265.5291600151622,0.7273028071133935,0.7586547429004633,0.4894505950769665,1.0431071288058178
40,1,R3,0.01256651528752001,0.005176820919083617,8.206332878943401,213.65000000000003,67.8,282.3,0,400000000,Ecoli_M9,2,350,400000000,5.625554623790122,434672530629.9325,1.2942052297709042e-11,263.8968210379202,291.48132410985056,0.7539909172512005,0.8328037831710016,0.4751660167825015,1.1045276065222729
40,1,R4,0.011747011701372075,0.010094172778830658,8.487232214331328,183.58,124.35,307.93,0,400000000,Ecoli_M9,2,350,400000000,6.565874766972834,260184758507.1135,2.5235431947076643e-11,246.6872457288136,568.3532216694872,0.7048207020823245,1.6238663476271062,0.30266870860568007,2.30394246767944
40,1,R5,0.012099858414649872,0.0058069923994017204,8.149713177433034,209.66,79.7,289.9,0,400000000,Ecoli_M9,2,350,400000000,5.586234963866913,384793681799.3733,1.4517480998504303e-11,254.09702670764733,326.96318071073534,0.7259915048789923,0.9341805163163867,0.4372989639689593,1.2867650792581864
43,1,R1,0.008864813463508796,0.007747125652226106,7.509877610167275,229.71,79,309.4,0,400000000,Ecoli_M9,2,350,400000000,5.82246948710393,300626051440.42633,1.936781413056527e-11,186.16108273368474,436.2025417630216,0.5318888078105278,1.246292976465776,0.29911947839854824,2.343145706705182
43,1,R2,0.008845983091677221,0.008099650308502678,7.764046296237059,222.71,81.8,305.3,0,400000000,Ecoli_M9,2,350,400000000,5.650642151942989,279056104237.5461,2.0249125771256696e-11,185.76564492522164,456.05147128926336,0.5307589855006333,1.3030042036836096,0.2894370377980723,2.454982843963656
43,1,R3,0.008618292354264822,0.00818483101434013,7.47745609399736,225.71,79.4,306.9,0,400000000,Ecoli_M9,2,350,400000000,5.693738612381739,278258089991.4046,2.0462077535850328e-11,180.98413943956126,460.8475778794267,0.5170975412558894,1.3167073653697905,0.2819806727463623,2.546342344177206
43,1,R4,0.009181375680618522,0.007909445030364934,8.241941924575263,219.68,88.3,309,0,400000000,Ecoli_M9,2,350,400000000,5.612864109148824,283856280060.13727,1.9773612575912337e-11,192.80888929298897,445.3419475891301,0.5508825408371113,1.2724055645403716,0.3021368587950393,2.3097583789946343
43,1,R5,0.008813975640778316,0.007586965363160912,7.5210549066338155,235.71,74,310.3,0,400000000,Ecoli_M9,2,350,400000000,6.01244966998983,316988381108.6703,1.896741340790228e-11,185.09348845634463,427.18470362331567,0.5288385384466989,1.2205277246380448,0.3023029251256806,2.307940204628374
45,1,R1,0.0029454361550463,0.004721934426570042,8.06507032508019,123.35,66.8,191.2,0,400000000,Ecoli_M9,2,350,400000000,0.7023263470166212,59494798831.993355,1.1804836066425103e-11,61.8541592559723,265.86890304487514,0.17672616930277799,0.7596254372710718,0.18873911046025385,4.2983189205535
45,1,R4,0.0011780828604949997,0.005814053045414396,7.907567519390229,116.3,78.2,195.5,0,400000000,Ecoli_M9,2,350,400000000,0.724686066278857,49857547608.74942,1.453513261353599e-11,24.739740070394994,327.36073096039894,0.07068497162969999,0.9353163741725684,0.07026329728548222,13.232181503480618
45,2,R2,0.0050265778506856365,1.28113949602344e-4,8.34202870696593,212.82000000000016,1199.83,1412.65,0,400000000,M9,2,350,400000000,0.04879976562323281,152363628706.1747,3.2028487400586003e-13,105.55813486439835,7.213466382307115,0.30159467104113813,0.0206099039494489,0.9360347259189259,0.06833643273039684
47,1,R2,7.879289629948692e-4,0.001290606865088556,7.678129526401385,584.8000000000001,98.7,684.8,0,400000000,Ecoli_M9,2,350,400000000,0.9587246464526888,297139174565.5731,3.2265171627213902e-12,16.546508222892253,72.66772481051306,0.04727573777969215,0.20762207088718018,0.18546937702974578,4.391725663906332
47,1,R5,1.496495582688162e-4,0.002356964844721043,7.633085157168716,342.07,83.1,425.4,0,400000000,Ecoli_M9,2,350,400000000,0.8272397857920166,140390687225.53204,5.892412111802608e-12,3.1426407236451404,132.70909783397923,0.008978973496128972,0.37916885095422637,0.023132870856210082,42.228529922456524
