rxn_id,enzyme_id,flux,C_i,Ea_i_eV,Ea_kcat_eV,Ea_fN_eV,contrib,base,calvin
URIDK2r_TG_reverse,,0.0016754460701487678,0.0006748198958406171,1.2622762216951666,1.262276246110995,-2.4415828687744557e-08,0.0008518091249227069,URIDK2r,
H2Otpp_TG_reverse,,1.321208770138211,0.004499557452752878,0.18910721846357212,0.18906928481409915,3.793364947298485e-05,0.0008507281095719364,H2Otpp,
DAPDC,,0.012222214722772998,0.0006259161004829039,1.2455786336302153,1.2455786641370294,-3.0506814104766034e-08,0.0007796277403013541,DAPDC,
PSTA_TG_forward,,0.07345139456103919,0.0009226936054207435,0.8159423394440604,0.8159498693055817,-7.529861521080207e-06,0.0007528717267521516,PSTA_TG_forward,
CHORS,,0.024975136665772085,0.002149884256974488,0.34822749639498407,0.34822762346594954,-1.2707096550161057e-07,0.0007486490855330847,CHORS,
H2Otly_TG_forward,,8.078339995635147,0.028592108409919437,-0.025588977612254427,-0.025587746629788823,-1.2309824655919705e-06,-0.0007316076256044727,H2Otly_TG_forward,
HSDxi_TG_forward,,0.0405591784130988,0.0007133876214315826,0.9839274505583298,0.9839274502253131,3.330164741418655e-10,0.000701921663377478,HSDxi_TG_forward,
IPPMIa_TG_reverse,,0.033316640454844504,0.0010660738162138195,0.6428987419050803,0.6428851096299547,1.3632275125690582e-05,0.0006853629822102456,IPPMIa,
ACONTb_1_TG_forward,,0.07916257211417047,0.0012976371255635222,0.520637715160182,0.5206382358123335,-5.206521514432175e-07,0.0006755995037779797,ACONTb_1_TG_forward,
SO4tex_TG_forward,,0.012040308949999794,0.0005706321960396998,1.1431411591095715,1.143141157789823,1.3197490048336582e-09,0.0006523131492529717,SO4tex_TG_forward,
DHQS,,0.024975136665772085,0.0009160770784166772,0.7055016662184915,0.7055015972058898,6.901260150344958e-08,0.0006462938419866709,DHQS,
VALTA_TG_reverse,,0.01968436544577859,0.0004969924322084651,1.3002092755230445,1.3002818471725983,-7.25716495538531e-05,0.0006462302377828254,VALTA,
MCOATA_TG_forward,,0.18686807419357987,0.0011205577288952995,0.5757645266163112,0.5757644505811104,7.603520080612048e-08,0.0006451773051218189,MCOATA_TG_forward,
IPMD,,0.033316640454844504,0.0006575601213754112,0.9663008396153823,0.9663008396055972,9.784743424260778e-12,0.0006354008973762182,IPMD,
ASPO6,,0.0001445620839065388,0.0004171747526537928,1.3418777804582667,1.3418791362112878,-1.3557530209237755e-06,0.0005597980967402291,ASPO6,
EAR160y_TG_forward,,0.01857921400666405,0.0007933081233368888,0.6893470305345627,0.6893470382158877,-7.681324953286042e-09,0.0005468646052148885,EAR160y_TG_forward,
UREA_1,,0.0025392698161030925,0.0004566295413344079,1.146838361420474,1.1468376540056082,7.074148659400441e-07,0.0005236799519336093,UREA_1,
DHAD2,,0.018332687493571604,0.0005452070444667001,0.9543317082278808,0.9543317168784913,-8.650610599609897e-09,0.0005203083748001538,DHAD2,
IPDPS_syn,,0.008518907014706414,0.0004844285383831526,1.0670121277835116,1.0670111335527896,9.942307219475333e-07,0.0005168906438655287,IPDPS_syn,
ADSL2r_TG_forward,,0.02057841670866298,0.0007773263354549087,0.6105750644531979,0.6105750694082634,-4.955065944447394e-09,0.00047461608122325194,ADSL2r_TG_forward,
MECDPS,,0.011360050685042245,0.0004168753054423213,1.137224239623405,1.1372242290663537,1.0557051103170987e-08,0.0004740806978484446,MECDPS,
DES2_12,,0.007286337273712382,0.00036524971938067807,1.2666673803807533,1.2667257965392205,-5.841615846712461e-05,0.0004626712417182162,DES2_12,
PPBNGS,,0.0056055493469128696,0.0003195186444315823,1.444167480839131,1.444181999268821,-1.4518429690658462e-05,0.00046144307471886604,PPBNGS,
3OAS80,,0.02637418718611945,0.00048706976080170605,0.9402420155701068,0.9402418438876613,1.716824453247853e-07,0.0004579633699981182,3OAS80,
IGPS,,0.004524440514483626,0.0005008714938914416,0.8756390673625932,0.8756390707468396,-3.3842462874260914e-09,0.00043858264947468326,IGPS,
ANPRT,,0.004524440514483626,0.0006819851423145451,0.6272173879949435,0.6272174399150836,-5.1920139822902235e-08,0.00042775297502265294,ANPRT,
3OAS181,,0.0006049323621749453,0.0011202796410536564,0.3766636197390905,0.37666324388940337,3.75849687207584e-07,0.0004219681636625266,3OAS181,
ACHBS2,,0.018332687493571604,0.0006110489854549428,0.6756312249200864,0.6756312249203101,-2.2380052459307199e-13,0.00041284377452923576,ACHBS2,
PRPPS_TG_forward,,0.0525135644320867,0.00032958947480121736,1.2287059341073157,1.2287060764955582,-1.4238824235790572e-07,0.0004049685904372354,PRPPS_TG_forward,
3OAS160,,0.01857921400666405,0.00040295303394000115,1.0036951115995187,1.0037116506404007,-1.653904088177602e-05,0.00040444865482647594,3OAS160,
DHDPS,,0.01382315985790341,0.0003493220991024337,1.1379108470739467,1.1378813009754525,2.9546098494286977e-05,0.0003974870845861532,DHDPS,
RNDR1,,0.0016696712957989634,0.0008353286455653475,0.46523555491464064,0.46686672273503,-0.0016311678203895063,0.0003899871471617852,RNDR1,
DHDPRy,,0.01382315985790341,0.00032924143444912346,1.1467444401031617,1.1467367514252982,7.688677863641974e-06,0.0003775532529747931,DHDPRy,
EAR120y_TG_forward,,0.024982994547185697,0.0003681436140157146,1.0248374248240413,1.024837443567994,-1.8743953018949987e-08,0.0003772873602537473,EAR120y_TG_forward,
PKETF,,0.32892890210065845,0.0034135000427037987,0.10940392145763746,0.10941251993352336,-8.598475885903827e-06,0.0003734796414654122,PKETF,
GMPS,,0.010042031798371336,0.0004663752637634744,0.7466740093853889,0.7466740017526313,7.632757168658264e-09,0.00034823028451271237,GMPS,
