variant,A_ETC_level,A_ETC_nm2_per_gDW,strain,T_C,mu_model,mu_scaled,area_used,binds,frac_of_budget,area::complex I,area::complex II,area::complex III,area::complex IV,area::ATP synthase
full,2xA*,5.2473580196758266e+17,chaemulonii_draft,34.0,0.07412718030269487,0.5685780955185739,2.9423080778007085e+17,False,0.5607218083401292,0.0,-88487790930814.9,57907080751998.164,19104242183577.105,2.942422842480661e+17
full,2xA*,5.2473580196758266e+17,chaemulonii_draft,38.0,0.08865096310333537,0.6799799420584371,3.395051191261494e+17,False,0.6470020110179626,0.0,0.0,537907558277197.94,177462170985879.1,3.387897493968863e+17
full,2xA*,5.2473580196758266e+17,chaemulonii_draft,40.0,0.08916893816193101,0.6839529688367366,3.482440539061862e+17,False,0.6636559819253578,0.0,0.0,541050476179770.25,178499057390686.7,3.4752450437261574e+17
full,2xA*,5.2473580196758266e+17,chaemulonii_draft,44.0,0.08002427346940029,0.6138105998190115,3.4509088163884736e+17,False,0.6576469155427792,0.0,0.0,485563382934216.7,160193198182109.62,3.44445125057731e+17
full,2xA*,5.2473580196758266e+17,cduobushaemulonii_draft,22.0,0.018186010406773596,0.13949224994044976,1.2893535046214181e+17,False,0.24571479586237044,0.0,0.0,110347277798985.5,36404893702011.34,1.2878859829064082e+17
full,2xA*,5.2473580196758266e+17,cduobushaemulonii_draft,26.0,0.04178012245052321,0.3204662899148166,1.81086345982525e+17,False,0.345100039493231,0.0,0.0,253509300577892.47,83635766319685.94,1.8074920091562742e+17
full,2xA*,5.2473580196758266e+17,cduobushaemulonii_draft,30.0,0.06286594423453,0.48220097810123325,2.5211140977585277e+17,False,0.48045399004702904,0.0,0.0,381451767450838.3,125845524452256.05,2.5160411248394966e+17
full,2xA*,5.2473580196758266e+17,cduobushaemulonii_draft,34.0,0.07275991507140729,0.5580907539240361,2.947288067676562e+17,False,0.5616708554333864,0.0,0.0,441485426513590.0,145651350389380.88,2.941416699907532e+17
full,2xA*,5.2473580196758266e+17,cduobushaemulonii_draft,38.0,0.07280076604618665,0.55840409336775,3.125713130498538e+17,False,0.5956736930810068,0.0,0.0,441733298023702.44,145733126180840.25,3.119838466256493e+17
full,2xA*,5.2473580196758266e+17,cduobushaemulonii_draft,40.0,0.06978492627820927,0.5352716819545046,3.15069738749674e+17,False,0.6004349952266808,0.0,0.0,423434083339960.94,139695995236790.64,3.145066086710972e+17
full,2xA*,5.2473580196758266e+17,cduobushaemulonii_draft,44.0,0.05949954136416525,0.4563796407056347,3.0949142631172755e+17,False,0.5898042884652407,0.0,0.0,361025440597913.3,119106633628343.84,3.090112942375013e+17
full,2xA*,5.2473580196758266e+17,cparapsilosis_iDC1003,22.0,0.01727439556279015,0.13249988587477213,5.247358019675827e+17,True,1.0000000000000002,0.0,4269603353684805.0,3.1030535668336666e+17,1.0237346811401394e+17,1.0778737381651733e+17
full,2xA*,5.2473580196758266e+17,cparapsilosis_iDC1003,26.0,0.03746564442347622,0.2873729267279542,5.2473580196758266e+17,True,1.0,0.0,9889104592191184.0,3.1989937760272877e+17,1.0553865096864219e+17,8.940866880402053e+16
full,2xA*,5.2473580196758266e+17,cparapsilosis_iDC1003,30.0,0.05323136987223336,0.40830085240270386,5.247358019675826e+17,True,0.9999999999999999,0.0,1.4050487916398364e+16,2.979425424718543e+17,9.829482706182875e+16,1.1444794451750125e+17
full,2xA*,5.2473580196758266e+17,cparapsilosis_iDC1003,34.0,0.0612889598893446,0.4701050268997072,5.2473580196758266e+17,True,1.0,1.251502415451622e+17,1.6385864457692614e+16,1.9752001277865027e+17,6.5164227089730664e+16,1.205154560963469e+17
full,2xA*,5.2473580196758266e+17,cparapsilosis_iDC1003,38.0,0.05890738896897511,0.45183765111775165,5.247358019675827e+17,True,1.0000000000000002,1.261530348098847e+17,1.5749141328959086e+16,1.956679640680001e+17,6.455321395205282e+16,1.22612447808686e+17
full,2xA*,5.2473580196758266e+17,cparapsilosis_iDC1003,40.0,0.05452828889851416,0.4182486171361445,5.247358019675826e+17,True,0.9999999999999999,1.2961595022283163e+17,1.439281134619255e+16,1.930480105954446e+17,6.368885980054991e+16,1.2399017000256394e+17
full,2xA*,5.2473580196758266e+17,cparapsilosis_iDC1003,44.0,0.041636398134374884,0.3193638805472725,5.2473580196758266e+17,True,1.0,1.4290365676689011e+17,1.029100581051933e+16,1.8792354715958688e+17,6.199823769927719e+16,1.2161935453130914e+17
full,1xA*,2.6236790098379133e+17,cauris_iRV973,22.0,0.012833520255356586,0.11562589933078887,1.1918655723250794e+17,False,0.4542726331445213,0.0,-15319749822201.682,10025360343183.828,3307486916739.5327,1.191885441350702e+17
full,1xA*,2.6236790098379133e+17,cauris_iRV973,26.0,0.036355196706482545,0.32754865624497964,1.709059870138848e+17,False,0.6513982326841236,0.0,-43398265417298.625,28400153666151.406,9369552162586.607,1.7091161557347338e+17
full,1xA*,2.6236790098379133e+17,cauris_iRV973,30.0,0.069966290021889,0.6303738214963321,2.6236790098379136e+17,True,1.0000000000000002,0.0,-83520814070903.84,54656653465990.7,18031887140539.457,2.6237873325725574e+17
full,1xA*,2.6236790098379133e+17,cauris_iRV973,34.0,0.08651788285511938,0.7794983616551794,2.6236790098379136e+17,True,1.0000000000000002,0.0,-129829810877505.44,0.0,0.0,2.6249773079466886e+17
full,1xA*,2.6236790098379133e+17,cauris_iRV973,38.0,0.08782089703401137,0.7912381012805773,2.6236790098379133e+17,True,1.0,0.0,-131785130157561.6,0.0,0.0,2.624996861139489e+17
full,1xA*,2.6236790098379133e+17,cauris_iRV973,40.0,0.08457793531279423,0.7620200568118707,2.6236790098379136e+17,True,1.0000000000000002,0.0,-126918701471903.89,0.0,0.0,2.6249481968526326e+17
full,1xA*,2.6236790098379133e+17,cauris_iRV973,44.0,0.07356942490526908,0.6628369105795529,2.6236790098379136e+17,True,1.0000000000000002,0.0,-110399193861604.58,0.0,0.0,2.6247830017765296e+17
full,1xA*,2.6236790098379133e+17,chaemulonii_draft,22.0,0.007086970526994922,0.06385133029829111,1.088783497946522e+17,False,0.41498349983513616,0.0,-8459924736982.827,5536238838682.664,1826471757629.9114,1.0887944700879286e+17
full,1xA*,2.6236790098379133e+17,chaemulonii_draft,26.0,0.021254911280527245,0.1914999301131976,1.4355107970502534e+17,False,0.5471365939459709,0.0,-25372611476176.61,16604029168114.607,5477868860448.368,1.4355437041847296e+17
full,1xA*,2.6236790098379133e+17,chaemulonii_draft,30.0,0.04693973692686446,0.4229119671396458,2.2186394016400378e+17,False,0.8456215083174758,0.0,-56033341758996.664,36668643345162.305,12097426323550.615,2.2187120743609405e+17
full,1xA*,2.6236790098379133e+17,chaemulonii_draft,34.0,0.07310654668339958,0.6586665263342826,2.6236790098379133e+17,True,1.0,0.0,-100165186613405.77,0.0,0.0,2.6246806617040474e+17
full,1xA*,2.6236790098379133e+17,chaemulonii_draft,38.0,0.08458775774169765,0.7621085537443547,2.6236790098379136e+17,True,1.0000000000000002,0.0,-126933441130859.02,0.0,0.0,2.624948344249222e+17
full,1xA*,2.6236790098379133e+17,chaemulonii_draft,40.0,0.08377497607831644,0.7547856517721697,2.6236790098379136e+17,True,1.0000000000000002,0.0,-125713770859690.62,0.0,0.0,2.6249361475465104e+17
full,1xA*,2.6236790098379133e+17,chaemulonii_draft,44.0,0.07407500790197293,0.6673920511424735,2.6236790098379136e+17,True,1.0000000000000002,0.0,-111157877993472.0,0.0,0.0,2.6247905886178483e+17
full,1xA*,2.6236790098379133e+17,cduobushaemulonii_draft,22.0,0.018186010406773305,0.16385011802545538,1.2893535046214128e+17,False,0.4914295917247388,0.0,0.0,110347277798983.19,36404893702010.586,1.2878859829064029e+17
full,1xA*,2.6236790098379133e+17,cduobushaemulonii_draft,26.0,0.04178012245052275,0.3764254963852042,1.8108634598252406e+17,False,0.6902000789864584,0.0,0.0,253509300577892.12,83635766319685.83,1.807492009156265e+17
full,1xA*,2.6236790098379133e+17,cduobushaemulonii_draft,30.0,0.06286594423452979,0.5664019843941687,2.5211140977585258e+17,False,0.9609079800940574,0.0,0.0,381451767450839.94,125845524452256.58,2.5160411248394947e+17
full,1xA*,2.6236790098379133e+17,cduobushaemulonii_draft,34.0,0.07116234897021469,0.641149928815372,2.6236790098379136e+17,True,1.0000000000000002,0.0,-97501390611690.14,0.0,0.0,2.6246540237440304e+17
full,1xA*,2.6236790098379133e+17,cduobushaemulonii_draft,38.0,0.07038834333582436,0.6341763864214895,2.623679009837913e+17,True,0.9999999999999999,0.0,-96440905301881.34,0.0,0.0,2.624643418890932e+17
full,1xA*,2.6236790098379133e+17,cduobushaemulonii_draft,40.0,0.06731870793975599,0.6065199565233964,2.6236790098379133e+17,True,1.0,0.0,-92235117773524.95,0.0,0.0,2.6246013610156486e+17
full,1xA*,2.6236790098379133e+17,cduobushaemulonii_draft,44.0,0.05738451115281259,0.5170160312742094,2.6236790098379136e+17,True,1.0000000000000002,0.0,-122439674772547.02,0.0,0.0,2.624903406585639e+17
full,1xA*,2.6236790098379133e+17,cparapsilosis_iDC1003,22.0,0.01430080696066788,0.1288456817055364,2.623679009837913e+17,True,0.9999999999999999,0.0,3534640221576842.0,1.4422106009235757e+17,4.758026176067515e+16,6.703193890918178e+16
full,1xA*,2.6236790098379133e+17,cparapsilosis_iDC1003,26.0,0.033473947532029195,0.30158952575206527,2.623679009837913e+17,True,0.9999999999999999,0.0,8835491110632887.0,1.4041144369388152e+17,4.632342350604596e+16,6.679754267323096e+16
full,1xA*,2.6236790098379133e+17,cparapsilosis_iDC1003,30.0,0.04817099327750261,0.4340051917589672,2.6236790098379133e+17,True,1.0,0.0,1.2714795065221582e+16,1.3697313588454429e+17,4.518908441938778e+16,6.749088561463769e+16
full,1xA*,2.6236790098379133e+17,cparapsilosis_iDC1003,34.0,0.055023275135088506,0.49574205245552616,2.6236790098379133e+17,True,1.0,3.679039654133865e+16,1.471070695292778e+16,1.0231163826174077e+17,3.375383960248046e+16,7.480131962530368e+16
full,1xA*,2.6236790098379133e+17,cparapsilosis_iDC1003,38.0,0.051763443810069615,0.46637201826988145,2.6236790098379136e+17,True,1.0000000000000002,3.907095849217167e+16,1.3839177164477354e+16,1.006779597891486e+17,3.3214869431903868e+16,7.556493610608984e+16
full,1xA*,2.6236790098379133e+17,cparapsilosis_iDC1003,40.0,0.047165405423254356,0.42494516787697406,2.6236790098379133e+17,True,1.0,4.282338657209847e+16,1.244936886956092e+16,9.819459792703787e+16,3.2395578494990504e+16,7.650496912010355e+16
