variant,A_ETC_level,A_ETC_over_Astar,A_ETC_nm2_per_gDW,strain,role,growth_scale,peak_mu_model,peak_mu,peak_T_C,Topt_C,rmax,CTmax_C,CTmin_C,Ea_eV,thermal_limit_C,mu_40C,fit_r2,plateau_1pct_width_C,plateau_0p01pct_width_C
full,0.05xA*,0.05,1.3118395049189568e+16,cduobushaemulonii_draft,predict,21.368269690513703,0.04307733990722208,0.92048821668745,33.5,33.5,0.92048821668745,50.397867482808614,17.050203795698174,1.3934040927160183,50.37689208984375,0.7629367227452145,-1.3758947799110715,2.5,0.0
full,0.05xA*,0.05,1.3118395049189568e+16,cparapsilosis_iDC1003,predict,21.368269690513703,0.04637037025274758,0.9908545772096844,34.5,34.5,0.9908545772096844,49.64989568104058,18.678680679785728,1.3273851306099311,49.64190673828125,0.8251861127142569,-1.4160375262615963,2.0,0.0
full,0xA*,0.0,0.0,cauris_iRV973,calibrate_on,23.116901475292437,0.03455480401878149,0.7988000000002109,34.0,34.0,0.7988000000002109,47.001309225828145,18.497944412736736,1.4626401667856082,46.8994140625,0.5991507619982086,0.8895046387454502,2.0,0.0
full,0xA*,0.0,0.0,chaemulonii_draft,predict,23.116901475292437,0.04152223742236095,0.9598654715264187,36.5,36.5,0.9598654715264187,50.11475610802927,19.623529092578607,1.3927345202692027,50.07745361328125,0.8521680082315665,-3.1799616158337,1.5,0.0
full,0xA*,0.0,0.0,cduobushaemulonii_draft,predict,23.116901475292437,0.04151090247527196,0.9596034426713349,33.5,33.5,0.9596034426713349,50.074883328631785,17.175962386781997,1.4147721001191937,50.05963134765625,0.786562906721123,-1.6089112575850093,2.5,0.0
full,0xA*,0.0,0.0,cparapsilosis_iDC1003,predict,23.116901475292437,0.045403019606584626,1.0495771309261877,34.5,34.5,1.0495771309261877,49.56722108739331,18.885484322687706,1.3705419077888557,49.58770751953125,0.8739425564146716,-1.8720976011150117,2.0,0.0
chain_only,unconstrained,inf,,cauris_iRV973,calibrate_on,7.670305186259772,0.10414187970394362,0.7988000000000001,38.0,38.0,0.7988000000000001,53.581614160250915,19.26367349461621,1.3051498774059005,53.46923828125,0.7836018748547868,0.25389907982242343,2.5,0.0
chain_only,unconstrained,inf,,chaemulonii_draft,predict,7.670305186259772,0.08942983104986783,0.6859540969081365,39.0,39.0,0.6859540969081365,53.28591540854178,20.542381319917382,1.317564263090429,53.0885009765625,0.6839529688367397,-2.032097704591103,2.5,0.5
chain_only,unconstrained,inf,,cduobushaemulonii_draft,predict,7.670305186259772,0.07379667744647893,0.5660430377464669,36.0,36.0,0.5660430377464669,53.912511365096364,17.174083710822593,1.265237912617328,53.672607421875,0.5352716819545043,-0.30332919437722183,3.0,0.0
chain_only,unconstrained,inf,,cparapsilosis_iDC1003,predict,7.670305186259772,0.0860235009303451,0.6598265053262483,37.0,37.0,0.6598265053262483,53.29068883230932,17.4166498659863,1.14749239568508,53.0772705078125,0.6367731845958593,-0.43190873816739117,2.5,0.0
