reaction,name,bounds_changed,stoich_changed,lb_before,lb_after,ub_before,ub_after,costed,moves_proton
r_0178No2,"aldehyde dehydrogenase (indole-3-acetaldehyde, NADP) (No2)",False,True,0.0,0.0,inf,inf,True,True
r_0179No1,"aldehyde dehydrogenase (isoamyl alcohol, NAD) (No1)",False,True,0.0,0.0,inf,inf,True,False
r_0179No2,"aldehyde dehydrogenase (isoamyl alcohol, NAD) (No2)",False,True,0.0,0.0,inf,inf,True,False
r_0179No3,"aldehyde dehydrogenase (isoamyl alcohol, NAD) (No3)",False,True,0.0,0.0,inf,inf,True,False
r_0180No1,"aldehyde dehydrogenase (isoamyl alcohol, NAD) (No1)",False,True,0.0,0.0,inf,inf,True,False
r_0180No2,"aldehyde dehydrogenase (isoamyl alcohol, NAD) (No2)",False,True,0.0,0.0,inf,inf,True,False
r_0181No1,"aldehyde dehydrogenase (isoamyl alcohol, NADP) (No1)",False,True,0.0,0.0,inf,inf,True,False
r_0181No2,"aldehyde dehydrogenase (isoamyl alcohol, NADP) (No2)",False,True,0.0,0.0,inf,inf,True,False
r_0182No1,"aldehyde dehydrogenase (isobutyl alcohol, NAD) (No1)",False,True,0.0,0.0,inf,inf,True,False
r_0182No2,"aldehyde dehydrogenase (isobutyl alcohol, NAD) (No2)",False,True,0.0,0.0,inf,inf,True,False
r_0182No3,"aldehyde dehydrogenase (isobutyl alcohol, NAD) (No3)",False,True,0.0,0.0,inf,inf,True,False
r_0183No1,"aldehyde dehydrogenase (isobutyl alcohol, NAD) (No1)",False,True,0.0,0.0,inf,inf,True,False
r_0183No2,"aldehyde dehydrogenase (isobutyl alcohol, NAD) (No2)",False,True,0.0,0.0,inf,inf,True,False
r_0184No1,"aldehyde dehydrogenase (isobutyl alcohol, NADP) (No1)",False,True,0.0,0.0,inf,inf,True,False
r_0184No2,"aldehyde dehydrogenase (isobutyl alcohol, NADP) (No2)",False,True,0.0,0.0,inf,inf,True,False
r_0185No1,"aldehyde dehydrogenase (phenylacetaldehyde, NAD) (No1)",False,True,0.0,0.0,inf,inf,True,True
r_0185No2,"aldehyde dehydrogenase (phenylacetaldehyde, NAD) (No2)",False,True,0.0,0.0,inf,inf,True,True
r_0186No1,"aldehyde dehydrogenase (tryptophol, NAD) (No1)",False,True,0.0,0.0,inf,inf,True,False
r_0186No2,"aldehyde dehydrogenase (tryptophol, NAD) (No2)",False,True,0.0,0.0,inf,inf,True,False
r_0186No3,"aldehyde dehydrogenase (tryptophol, NAD) (No3)",False,True,0.0,0.0,inf,inf,True,False
r_0187No1,"aldehyde dehydrogenase (tryptophol, NAD) (No1)",False,True,0.0,0.0,inf,inf,True,False
r_0187No2,"aldehyde dehydrogenase (tryptophol, NAD) (No2)",False,True,0.0,0.0,inf,inf,True,False
r_0188No1,alkaline phosphatase (dihydroneopterin) (No1),False,True,0.0,0.0,inf,inf,True,True
r_0189No1,allantoate amidinohydrolase (No1),False,True,0.0,0.0,inf,inf,True,False
r_0190No1,"allantoinase, reaction (No1)",False,True,0.0,0.0,inf,inf,True,True
r_0191No1,allophanate hydrolase (No1),False,True,0.0,0.0,inf,inf,True,True
r_0192No1,"alpha 1,2-mannosyltransferase (No1)",False,True,0.0,0.0,inf,inf,True,True
r_0192No2,"alpha 1,2-mannosyltransferase (No2)",False,True,0.0,0.0,inf,inf,True,True
r_0192No3,"alpha 1,2-mannosyltransferase (No3)",False,True,0.0,0.0,inf,inf,True,True
r_0192No4,"alpha 1,2-mannosyltransferase (No4)",False,True,0.0,0.0,inf,inf,True,True
r_0192No5,"alpha 1,2-mannosyltransferase (No5)",False,True,0.0,0.0,inf,inf,True,True
r_0192No6,"alpha 1,2-mannosyltransferase (No6)",False,True,0.0,0.0,inf,inf,True,True
r_0192No7,"alpha 1,2-mannosyltransferase (No7)",False,True,0.0,0.0,inf,inf,True,True
r_0192No8,"alpha 1,2-mannosyltransferase (No8)",False,True,0.0,0.0,inf,inf,True,True
r_0193No1,"alpha,alpha-trehalase (No1)",False,True,0.0,0.0,inf,inf,True,False
r_0194No1,"alpha,alpha-trehalase (No1)",False,True,0.0,0.0,inf,inf,True,False
r_0195No1,"alpha,alpha-trehalose-phosphate synthase (UDP-forming) (No1)",False,True,0.0,0.0,inf,inf,True,True
r_0195No2,"alpha,alpha-trehalose-phosphate synthase (UDP-forming) (No2)",False,True,0.0,0.0,inf,inf,True,True
r_0198No1,alpha-glucosidase (No1),False,True,0.0,0.0,inf,inf,True,False
r_0198No2,alpha-glucosidase (No2),False,True,0.0,0.0,inf,inf,True,False
r_0198No3,alpha-glucosidase (No3),False,True,0.0,0.0,inf,inf,True,False
r_0198No4,alpha-glucosidase (No4),False,True,0.0,0.0,inf,inf,True,False
r_0198No5,alpha-glucosidase (No5),False,True,0.0,0.0,inf,inf,True,False
r_0198No6,alpha-glucosidase (No6),False,True,0.0,0.0,inf,inf,True,False
r_0199No1,amidase (No1),False,True,0.0,0.0,inf,inf,True,False
r_0201No1,Aminobutyraldehyde dehydrogenase (No1),False,True,0.0,0.0,inf,inf,True,True
r_0202No1,anthranilate phosphoribosyltransferase (No1),False,True,0.0,0.0,inf,inf,True,False
r_0203No1,anthranilate synthase (No1),False,True,0.0,0.0,inf,inf,True,True
r_0204No1,Ap4A hydrolase (No1),False,True,0.0,0.0,inf,inf,True,True
r_0205No1,arabinose reductase (No1),False,True,0.0,0.0,inf,inf,True,True
r_0206No1,arginase (No1),False,True,0.0,0.0,inf,inf,True,False
r_0207No1,argininosuccinate lyase (No1),False,True,0.0,0.0,inf,inf,True,False
