reaction,members,name,costed,reversible,is_atp_synthase,translocates,kind,ion_per_flux_to_outer,flux,ion_to_outer,reaction_string
r_0238No1,r_0238No1,C-4 methyl sterol oxidase (No1),True,False,False,False,redox,-1.0,0.0006762000000000001,-0.0006762000000000001,3.2582220798958734e-06 prot_P53045 + s_0296 + s_0794 + s_1212 + s_1275 --> s_0803 + s_1207 + s_1576
r_0239No1,r_0239No1,C-4 methyl sterol oxidase (No1),True,False,False,False,redox,-1.0,0.0006762000000000001,-0.0006762000000000001,3.2582220798958734e-06 prot_P53045 + s_0794 + s_1212 + s_1275 + s_1576 --> 2.0 s_0803 + s_1207 + s_1577
r_0240No1,r_0240No1,C-4 methyl sterol oxidase (No1),True,False,False,False,redox,-1.0,0.0006762000000000001,-0.0006762000000000001,3.2582220798958734e-06 prot_P53045 + s_0794 + s_1212 + s_1275 + s_1577 --> s_0803 + s_1207 + s_1578
r_1682,r_1682,"cholestenol delta-isomerase, lumped reaction",False,False,False,False,redox,1.0,0.0006537000000000001,0.0006537000000000001,s_1275 + s_1416 + s_1569 --> s_0662 + s_0794 + 2.0 s_0803 + s_1413
r_1827,r_1827,H+ diffusion,False,False,False,True,pure_ion_transport,-1.0,0.00041142857142857143,-0.00041142857142857143,s_0794 --> s_0798
r_0344No1,r_0344No1,dihydrofolate reductase (No1),True,False,False,False,redox,-1.0,0.00036,-0.00036,1.360786875976696e-06 prot_P07807 + s_0625 + s_0794 + s_1212 --> s_1207 + s_1487
r_0326No1,r_0326No1,dCMP deaminase (No1),True,False,False,False,carrier,-1.0,0.0002975500750888428,-0.0002975500750888428,2.0585645649629762e-07 prot_P06773 + s_0589 + s_0794 + s_0803 --> s_0419 + s_0654
r_0038No1,r_0038No1,"3,4-dihydroxy-2-butanone-4-phosphate synthase (No1)",True,False,False,False,carrier,1.0,0.00019800000000000002,0.00019800000000000002,6.5513948320150056e-06 prot_Q99258 + s_0577 --> s_0158 + s_0722 + s_0794
r_0525No1,r_0525No1,GTP cyclohydrolase II (No1),True,False,False,False,carrier,2.0,9.900000000000001e-05,0.00019800000000000002,6.864071444620242e-07 prot_P38066 + s_0785 + 3.0 s_0803 --> s_0141 + s_0633 + s_0722 + 2.0 s_0794
r_0014No1,r_0014No1,"2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase (No1)",True,False,False,False,carrier,-1.0,9.900000000000001e-05,-9.900000000000001e-05,2.1169712496218463e-06 prot_Q12362 + s_0142 + s_0794 + s_0803 --> s_0313 + s_0419
r_0015No1,r_0015No1,"2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH) (No1)",True,False,False,False,redox,-1.0,9.900000000000001e-05,-9.900000000000001e-05,9.9314159221498e-10 prot_P33312 + s_0141 + s_0794 + s_1212 --> s_0142 + s_1207
r_0364No1,r_0364No1,dUTP diphosphatase (No1),True,False,False,False,carrier,1.0,6.244992491115722e-05,6.244992491115722e-05,6.056145875905476e-05 prot_P33317 + s_0656 + s_0803 --> s_0633 + s_0654 + s_0794
r_2223,r_2223,fatty acyl-CoA transport via ABC system (C18:0),False,False,False,False,carrier,1.0,2.9755555555555568e-05,2.9755555555555568e-05,s_0434 + s_0803 + s_1454 --> s_0394 + s_0794 + s_1322 + s_1457
r_1830_REV,r_1830_REV,H+ diffusion (reversible),False,False,False,True,pure_ion_transport,1.0,2.9755555555555568e-05,2.9755555555555568e-05,s_0801 --> s_0794
r_0986No1,r_0986No1,S-adenosyl-methionine delta-24-sterol-c-methyltransferase (No1),True,False,False,False,carrier,1.0,2.1000000000000002e-05,2.1000000000000002e-05,0.02795946827607143 prot_P25087 + s_1416 + s_1569 --> s_0700 + s_0794 + s_1413
arm_r_0271,arm_r_0271 r_0271No1 r_0271No2,chitin deacetylase (arm),True,False,False,False,carrier,2.0,-7.553479223014508e-08,-1.5106958446029016e-07,s_0509 + s_0803 --> pmet_r_0271 ; pmet_r_0271 + 3.982589087920502e-06 prot_Q06702 --> s_0362 + s_0510 + s_0794 ; pmet_r_0271 + 3.9813331357806975e-06 prot_Q06703 --> s_0362 + s_0510 + s_0794
