lever,sigma,glucose_cap,label,T_C,mu
glucose_cap,0.5,2.0,glucose_cap=2.0,21.5,0.1277610350002008
glucose_cap,0.5,2.0,glucose_cap=2.0,22.0,0.13584241017434004
glucose_cap,0.5,2.0,glucose_cap=2.0,22.5,0.1441527548180208
glucose_cap,0.5,2.0,glucose_cap=2.0,23.0,0.15265953591663872
glucose_cap,0.5,2.0,glucose_cap=2.0,23.5,0.16132677440259344
glucose_cap,0.5,2.0,glucose_cap=2.0,24.0,0.17010097834509175
glucose_cap,0.5,2.0,glucose_cap=2.0,24.5,0.17894948548278533
glucose_cap,0.5,2.0,glucose_cap=2.0,25.0,0.18782875670333415
glucose_cap,0.5,2.0,glucose_cap=2.0,25.5,0.19643832200373423
glucose_cap,0.5,2.0,glucose_cap=2.0,26.0,0.19691723464409042
glucose_cap,0.5,2.0,glucose_cap=2.0,26.5,0.19682220310048165
glucose_cap,0.5,2.0,glucose_cap=2.0,27.0,0.1966868148835941
glucose_cap,0.5,2.0,glucose_cap=2.0,27.5,0.1964903235639642
glucose_cap,0.5,2.0,glucose_cap=2.0,28.0,0.19620011377674257
glucose_cap,0.5,2.0,glucose_cap=2.0,28.5,0.1957629635196892
glucose_cap,0.5,2.0,glucose_cap=2.0,29.0,0.19510517630437718
glucose_cap,0.5,2.0,glucose_cap=2.0,29.5,0.19412129962170382
glucose_cap,0.5,2.0,glucose_cap=2.0,30.0,0.1926757441566652
glucose_cap,0.5,2.0,glucose_cap=2.0,30.5,0.19062534301327724
glucose_cap,0.5,2.0,glucose_cap=2.0,31.0,0.18785511540467006
glucose_cap,0.5,2.0,glucose_cap=2.0,31.5,0.18445321283233895
glucose_cap,0.5,2.0,glucose_cap=2.0,32.0,0.18068800755706016
glucose_cap,0.5,2.0,glucose_cap=2.0,32.5,0.17697088833613522
glucose_cap,0.5,2.0,glucose_cap=2.0,33.0,0.1736828731427461
glucose_cap,0.5,2.0,glucose_cap=2.0,33.5,0.17102630716710435
glucose_cap,0.5,2.0,glucose_cap=2.0,34.0,0.16900705994955417
glucose_cap,0.5,2.0,glucose_cap=2.0,34.5,0.167512521575651
glucose_cap,0.5,2.0,glucose_cap=2.0,35.0,0.1663969442232169
glucose_cap,0.5,2.0,glucose_cap=2.0,35.5,0.16553047142022637
glucose_cap,0.5,2.0,glucose_cap=2.0,36.0,0.16481480059508574
glucose_cap,0.5,2.0,glucose_cap=2.0,36.5,0.16418161747993965
glucose_cap,0.5,2.0,glucose_cap=2.0,37.0,0.16358556315379155
glucose_cap,0.5,2.0,glucose_cap=2.0,37.5,0.16299714653978156
glucose_cap,0.5,2.0,glucose_cap=2.0,38.0,0.1623972544583779
glucose_cap,0.5,2.0,glucose_cap=2.0,38.5,0.1617733459006074
glucose_cap,0.5,2.0,glucose_cap=2.0,39.0,0.1611169597265329
glucose_cap,0.5,2.0,glucose_cap=2.0,39.5,0.16042213324548463
glucose_cap,0.5,2.0,glucose_cap=2.0,40.0,0.15968441690034896
glucose_cap,0.5,2.0,glucose_cap=2.0,40.5,0.15968441690034896
glucose_cap,0.5,2.0,glucose_cap=2.0,41.0,0.15968441690034896
glucose_cap,0.5,2.0,glucose_cap=2.0,41.5,0.15968441690034896
glucose_cap,0.5,2.0,glucose_cap=2.0,42.0,0.15968441690034896
glucose_cap,0.5,2.0,glucose_cap=2.0,42.5,0.15968441690034896
glucose_cap,0.5,2.0,glucose_cap=2.0,43.0,0.1530608823099652
glucose_cap,0.5,2.0,glucose_cap=2.0,43.5,0.12661918006643352
glucose_cap,0.5,2.0,glucose_cap=2.0,44.0,0.09480862340858982
glucose_cap,0.5,2.0,glucose_cap=2.0,44.5,0.06152541108064693
glucose_cap,0.5,2.0,glucose_cap=2.0,45.0,0.032243435276947736
glucose_cap,0.5,2.0,glucose_cap=2.0,45.5,0.011072500705955826
glucose_cap,0.5,2.0,glucose_cap=2.0,46.0,0.0
glucose_cap,0.5,2.0,glucose_cap=2.0,46.5,0.0
glucose_cap,0.5,2.0,glucose_cap=2.0,47.0,0.0
glucose_cap,0.5,2.0,glucose_cap=2.0,47.5,0.0
glucose_cap,0.5,2.0,glucose_cap=2.0,48.0,0.0
glucose_cap,0.5,2.0,glucose_cap=2.0,48.5,0.0
glucose_cap,0.5,2.0,glucose_cap=2.0,49.0,0.0
glucose_cap,0.5,2.0,glucose_cap=2.0,49.5,0.0
glucose_cap,0.5,2.0,glucose_cap=2.0,50.0,0.0
glucose_cap,0.5,1.0,glucose_cap=1.0,20.0,0.09314388454758464
glucose_cap,0.5,1.0,glucose_cap=1.0,20.5,0.09681370810163575
glucose_cap,0.5,1.0,glucose_cap=1.0,21.0,0.09681578315757501
glucose_cap,0.5,1.0,glucose_cap=1.0,21.5,0.09681374754322525
glucose_cap,0.5,1.0,glucose_cap=1.0,22.0,0.09680565625026828
glucose_cap,0.5,1.0,glucose_cap=1.0,22.5,0.09679473241725943
glucose_cap,0.5,1.0,glucose_cap=1.0,23.0,0.09678025413857226
glucose_cap,0.5,1.0,glucose_cap=1.0,23.5,0.09676130506007065
glucose_cap,0.5,1.0,glucose_cap=1.0,24.0,0.09673667722963346
glucose_cap,0.5,1.0,glucose_cap=1.0,24.5,0.09670471132932147
glucose_cap,0.5,1.0,glucose_cap=1.0,25.0,0.09666303436057189
glucose_cap,0.5,1.0,glucose_cap=1.0,25.5,0.09660813013577713
glucose_cap,0.5,1.0,glucose_cap=1.0,26.0,0.09653463918864646
glucose_cap,0.5,1.0,glucose_cap=1.0,26.5,0.09643422623257243
glucose_cap,0.5,1.0,glucose_cap=1.0,27.0,0.09629377117195194
glucose_cap,0.5,1.0,glucose_cap=1.0,27.5,0.09609254159048126
glucose_cap,0.5,1.0,glucose_cap=1.0,28.0,0.09579793768940717
glucose_cap,0.5,1.0,glucose_cap=1.0,28.5,0.0953586251513532
glucose_cap,0.5,1.0,glucose_cap=1.0,29.0,0.09469183994839515
glucose_cap,0.5,1.0,glucose_cap=1.0,29.5,0.09369450464258405
glucose_cap,0.5,1.0,glucose_cap=1.0,30.0,0.09222917516869818
glucose_cap,0.5,1.0,glucose_cap=1.0,30.5,0.09015379686277766
glucose_cap,0.5,1.0,glucose_cap=1.0,31.0,0.08738356924392657
glucose_cap,0.5,1.0,glucose_cap=1.0,31.5,0.0839816666590174
glucose_cap,0.5,1.0,glucose_cap=1.0,32.0,0.08021646136981707
glucose_cap,0.5,1.0,glucose_cap=1.0,32.5,0.07649934213514836
glucose_cap,0.5,1.0,glucose_cap=1.0,33.0,0.07321132692960206
glucose_cap,0.5,1.0,glucose_cap=1.0,33.5,0.07055476094413783
glucose_cap,0.5,1.0,glucose_cap=1.0,34.0,0.06853551371912166
glucose_cap,0.5,1.0,glucose_cap=1.0,34.5,0.06704097533969253
glucose_cap,0.5,1.0,glucose_cap=1.0,35.0,0.06592539798313367
glucose_cap,0.5,1.0,glucose_cap=1.0,35.5,0.0650589251769394
glucose_cap,0.5,1.0,glucose_cap=1.0,36.0,0.06434325434915265
glucose_cap,0.5,1.0,glucose_cap=1.0,36.5,0.06371007123166542
glucose_cap,0.5,1.0,glucose_cap=1.0,37.0,0.06311401690331346
glucose_cap,0.5,1.0,glucose_cap=1.0,37.5,0.06252560028712785
glucose_cap,0.5,1.0,glucose_cap=1.0,38.0,0.06192570820350614
glucose_cap,0.5,1.0,glucose_cap=1.0,38.5,0.061301799643428766
glucose_cap,0.5,1.0,glucose_cap=1.0,39.0,0.06064541346692731
glucose_cap,0.5,1.0,glucose_cap=1.0,39.5,0.05995058698331001
glucose_cap,0.5,1.0,glucose_cap=1.0,40.0,0.05921287063544664
glucose_cap,0.5,1.0,glucose_cap=1.0,40.5,0.05921287063544664
glucose_cap,0.5,1.0,glucose_cap=1.0,41.0,0.05921287063544664
glucose_cap,0.5,1.0,glucose_cap=1.0,41.5,0.05921287063544664
glucose_cap,0.5,1.0,glucose_cap=1.0,42.0,0.05921287063544664
glucose_cap,0.5,1.0,glucose_cap=1.0,42.5,0.05921287063544664
glucose_cap,0.5,1.0,glucose_cap=1.0,43.0,0.05921287063544664
glucose_cap,0.5,1.0,glucose_cap=1.0,43.5,0.059212870635446814
glucose_cap,0.5,1.0,glucose_cap=1.0,44.0,0.05921287063544664
glucose_cap,0.5,1.0,glucose_cap=1.0,44.5,0.05303119926861793
glucose_cap,0.5,1.0,glucose_cap=1.0,45.0,0.02482568909759899
glucose_cap,0.5,1.0,glucose_cap=1.0,45.5,0.00475188846106408
glucose_cap,0.5,1.0,glucose_cap=1.0,46.0,0.0
glucose_cap,0.5,1.0,glucose_cap=1.0,46.5,0.0
glucose_cap,0.5,1.0,glucose_cap=1.0,47.0,0.0
glucose_cap,0.5,1.0,glucose_cap=1.0,47.5,0.0
glucose_cap,0.5,1.0,glucose_cap=1.0,48.0,0.0
glucose_cap,0.5,1.0,glucose_cap=1.0,48.5,0.05921292002126089
glucose_cap,0.5,1.0,glucose_cap=1.0,49.0,0.05921292002126018
glucose_cap,0.5,1.0,glucose_cap=1.0,49.5,0.05921292002126089
glucose_cap,0.5,1.0,glucose_cap=1.0,50.0,0.05921292002126089
