reaction,members,name,costed,reversible,is_atp_synthase,translocates,kind,ion_per_flux_to_outer,flux,ion_to_outer,reaction_string,state,model
r_0548No1,r_0548No1,homoserine kinase (No1),True,False,False,False,carrier,1.0,0.045725657136936625,0.045725657136936625,6.808278867102396e-06 prot_P17423 + s_0434 + s_1014 --> s_0394 + s_0794 + s_1238,batch_pristine,ecYeast7_v1.0_batch.mat
r_2140No1,r_2140No1,fatty-acyl-CoA synthase (n-C16:0CoA) (No1),True,False,False,False,redox,-21.0,0.0021750865993008846,-0.04567681858531858,0.00017853959705638097 prot_P07149 + 0.00017853959705638097 prot_P19097 + s_0373 + 21.0 s_0794 + 7.0 s_1101 + 14.0 s_1212 --> 7.0 s_0456 + 7.0 s_0529 + 7.0 s_0803 + 14.0 s_1207 + s_1302,batch_pristine,ecYeast7_v1.0_batch.mat
arm_r_0091,arm_r_0091 r_0091No1 r_0091No2,6-phosphogluconolactonase (arm),True,False,False,False,carrier,2.0,0.020098818081268316,0.04019763616253663,s_0335 + s_0803 --> pmet_r_0091 ; pmet_r_0091 + 2.777777777777778e-05 prot_P53315 --> s_0340 + s_0794 ; pmet_r_0091 + 2.777777777777778e-05 prot_P38858 --> s_0340 + s_0794,batch_pristine,ecYeast7_v1.0_batch.mat
r_0957No1,r_0957No1,pyrroline-5-carboxylate reductase (No1),True,False,False,False,redox,-2.0,0.019949710544247583,-0.03989942108849517,6.944444444444444e-08 prot_P32263 + s_0118 + 2.0 s_0794 + s_1212 --> s_1035 + s_1207,batch_pristine,ecYeast7_v1.0_batch.mat
r_1237,r_1237,ornithine transport,False,False,False,True,carrier,-1.0,0.039414910814196506,-0.039414910814196506,s_0794 + s_1268 --> s_0799 + s_1266,batch_pristine,ecYeast7_v1.0_batch.mat
r_0029No1,r_0029No1,2-oxo-4-methyl-3-carboxypentanoate decarboxylation (No1),True,False,False,False,carrier,-1.0,0.03590221132553117,-0.03590221132553117,2.2473930240920532e-07 prot_P47176 + s_0010 + s_0794 --> s_0291 + s_0456,batch_pristine,ecYeast7_v1.0_batch.mat
r_0061No1,r_0061No1,3-isopropylmalate dehydrogenase (No1),True,False,False,False,redox,1.0,0.03590221132553117,0.03590221132553117,1.6339869281045753e-05 prot_P04173 + s_0009 + s_1198 --> s_0010 + s_0794 + s_1203,batch_pristine,ecYeast7_v1.0_batch.mat
r_1027No1,r_1027No1,sulfite reductase (NADPH2) (No1),True,False,False,False,redox,-5.0,0.006940609679328394,-0.03470304839664197,1.7806267806267806e-06 prot_P39692 + 1.7806267806267806e-06 prot_P47169 + 5.0 s_0794 + 3.0 s_1212 + s_1469 --> 3.0 s_0803 + s_0841 + 3.0 s_1207,batch_pristine,ecYeast7_v1.0_batch.mat
r_0678No1,r_0678No1,L-aminoadipate-semialdehyde dehydrogenase (NADPH) (No1),True,False,False,False,redox,-1.0,0.03466671012606957,-0.03466671012606957,4.2087542087542085e-06 prot_P07702 + 4.2087542087542085e-06 prot_P50113 + s_0434 + s_0794 + s_0953 + s_1212 --> s_0423 + s_0633 + s_0959 + s_1207,batch_pristine,ecYeast7_v1.0_batch.mat
r_0988No1,r_0988No1,"saccharopine dehydrogenase (NAD, L-lysine forming) (No1)",True,False,False,False,redox,1.0,0.03466671012606957,0.03466671012606957,1.4775413711583924e-05 prot_P38998 + s_0803 + s_1038 + s_1198 --> s_0180 + s_0794 + s_1025 + s_1203,batch_pristine,ecYeast7_v1.0_batch.mat
r_0989No1,r_0989No1,"saccharopine dehydrogenase (NADP, L-glutamate forming) (No1)",True,False,False,False,redox,-1.0,0.03466671012606957,-0.03466671012606957,6.944444444444444e-08 prot_P38999 + s_0794 + s_0959 + s_0991 + s_1212 --> s_0803 + s_1038 + s_1207,batch_pristine,ecYeast7_v1.0_batch.mat
r_0996No1,r_0996No1,shikimate dehydrogenase (No1),True,False,False,False,redox,-1.0,0.03201401637428437,-0.03201401637428437,8.443093549476528e-07 prot_P08566 + s_0211 + s_0794 + s_1212 --> s_1207 + s_1429,batch_pristine,ecYeast7_v1.0_batch.mat
r_0997No1,r_0997No1,shikimate kinase (No1),True,False,False,False,carrier,1.0,0.03201401637428437,0.03201401637428437,6.490134994807892e-07 prot_P08566 + s_0434 + s_1429 --> s_0261 + s_0394 + s_0794,batch_pristine,ecYeast7_v1.0_batch.mat
arm_r_0883,arm_r_0883 r_0883No1 r_0883No2,phosphoadenylyl-sulfate reductase (thioredoxin) (arm),True,False,False,False,carrier,4.0,0.006940609679328394,0.027762438717313577,s_0201 + s_1616 --> pmet_r_0883 ; pmet_r_0883 + 7.936507936507937e-05 prot_P18408 + 7.936507936507937e-05 prot_P22803 --> s_0390 + 2.0 s_0794 + s_1469 + s_1620 ; pmet_r_0883 + 7.936507936507937e-05 prot_P18408 + 7.936507936507937e-05 prot_P22217 --> s_0390 + 2.0 s_0794 + s_1469 + s_1620,batch_pristine,ecYeast7_v1.0_batch.mat
r_0153No1,r_0153No1,adenylosuccinate synthase (No1),True,False,False,False,carrier,2.0,0.012843107644945895,0.02568621528989179,4.5687134502923974e-05 prot_P80210 + s_0785 + s_0849 + s_0973 --> s_0393 + s_0739 + 2.0 s_0794 + s_1322,batch_pristine,ecYeast7_v1.0_batch.mat
arm_r_0211,arm_r_0211 r_0211No1 r_0211No2,asparagine synthase (glutamine-hydrolysing) (arm),True,False,False,False,carrier,2.0,0.01231867372404359,0.02463734744808718,s_0434 + s_0803 + s_0973 + s_0999 --> pmet_r_0211 ; pmet_r_0211 + 4.5687134502923974e-05 prot_P49090 --> s_0423 + s_0633 + s_0794 + s_0969 + s_0991 ; pmet_r_0211 + 4.5687134502923974e-05 prot_P49089 --> s_0423 + s_0633 + s_0794 + s_0969 + s_0991,batch_pristine,ecYeast7_v1.0_batch.mat
r_0536No1,r_0536No1,histidinol dehydrogenase (No1),True,False,False,False,redox,3.0,0.008030757796500393,0.02409227338950118,7.936507936507936e-06 prot_P00815 + s_0803 + s_1010 + 2.0 s_1198 --> 3.0 s_0794 + s_1006 + 2.0 s_1203,batch_pristine,ecYeast7_v1.0_batch.mat
r_1244,r_1244,phosphate transport,False,False,False,True,carrier,1.0,0.02113223273087752,0.02113223273087752,s_0796 + s_1324 --> s_0794 + s_1322,batch_pristine,ecYeast7_v1.0_batch.mat
r_0006,r_0006,"1,6-beta-glucan synthase",False,False,False,False,carrier,1.0,0.02082795488234481,0.02082795488234481,s_1543 --> s_0004 + s_0794 + s_1538,batch_pristine,ecYeast7_v1.0_batch.mat
r_0466No1,r_0466No1,glucose 6-phosphate dehydrogenase (No1),True,False,False,False,redox,1.0,0.020098818081268316,0.020098818081268316,4.389661469307487e-07 prot_P11412 + s_0568 + s_1207 --> s_0335 + s_0794 + s_1212,batch_pristine,ecYeast7_v1.0_batch.mat
r_1887,r_1887,L-glutamate 5-semialdehyde dehydratase,False,False,False,False,carrier,1.0,0.019949710544247583,0.019949710544247583,s_0997 --> s_0118 + s_0794 + s_0803,batch_pristine,ecYeast7_v1.0_batch.mat
r_0941No1,r_0941No1,prolyl-tRNA synthetase (No1),True,False,False,False,carrier,1.0,0.019949710544247583,0.019949710544247583,4.96031746031746e-05 prot_P38708 + s_0434 + s_1035 + s_1606 --> s_0423 + s_0633 + s_0794 + s_1379,batch_pristine,ecYeast7_v1.0_batch.mat
arm_r_0307,arm_r_0307 r_0307No1 r_0307No2,CTP synthase (NH3) (arm),True,False,False,False,carrier,4.0,0.004919075349115211,0.019676301396460844,s_0419 + s_0434 + s_1559 --> pmet_r_0307 ; pmet_r_0307 + 1.984126984126984e-05 prot_P28274 --> s_0394 + s_0539 + 2.0 s_0794 + s_1322 ; pmet_r_0307 + 1.984126984126984e-05 prot_P38627 --> s_0394 + s_0539 + 2.0 s_0794 + s_1322,batch_pristine,ecYeast7_v1.0_batch.mat
r_0208No1,r_0208No1,argininosuccinate synthase (No1),True,False,False,False,carrier,1.0,0.01946520026994892,0.01946520026994892,7.71604938271605e-10 prot_P22768 + s_0434 + s_0973 + s_0979 --> s_0015 + s_0423 + s_0633 + s_0794,batch_pristine,ecYeast7_v1.0_batch.mat
r_0816No1,r_0816No1,ornithine carbamoyltransferase (No1),True,False,False,False,carrier,1.0,0.01946520026994892,0.01946520026994892,6.459948320413437e-08 prot_P05150 + s_0455 + s_1266 --> s_0794 + s_0979 + s_1322,batch_pristine,ecYeast7_v1.0_batch.mat
r_0855No1,r_0855No1,phopshoribosylaminoimidazole synthetase (No1),True,False,False,False,carrier,2.0,0.009604324828579635,0.01920864965715927,0.0002777777777777778 prot_P07244 + s_0302 + s_0434 --> s_0300 + s_0394 + 2.0 s_0794 + s_1322,batch_pristine,ecYeast7_v1.0_batch.mat
arm_r_0959,arm_r_0959 r_0959No1 r_0959No2 r_0959No3,pyruvate decarboxylase (arm),True,False,False,False,carrier,-1.0,0.01764677806203121,-0.01764677806203121,s_0794 + s_1399 --> pmet_r_0959 ; pmet_r_0959 + 4.4802867383512545e-06 prot_P26263 --> s_0359 + s_0456 ; pmet_r_0959 + 4.4802867383512545e-06 prot_P06169 --> s_0359 + s_0456 ; pmet_r_0959 + 4.4802867383512545e-06 prot_P16467 --> s_0359 + s_0456,batch_pristine,ecYeast7_v1.0_batch.mat
r_2116No1,r_2116No1,acetaldehyde dehydrogenase (No1),True,False,False,False,redox,1.0,0.01764677806203121,0.01764677806203121,8.762705923589205e-06 prot_P47771 + s_0359 + s_0803 + s_1198 --> s_0362 + s_0794 + s_1203,batch_pristine,ecYeast7_v1.0_batch.mat
