rxn_id,mw_kDa,kcat_s,source,group
R08244__cyto,58.49,3.3596,dlkcat,Drug metabolism - other enzymes
R00424__cyto,31.66,13.7,default_13.7,
R10288__cyto,63.0875,123.075,dlkcat,
R01926__cyto,52.41,1.9099,dlkcat,Sphingolipid metabolism
R01706__cyto,80.081111,13.7,default_13.7,Fatty acid biosynthesis
R04866__cyto,88.716667,13.7,default_13.7,Lysine degradation
R00014__cyto,52.884286,11.4864,dlkcat,Pyruvate metabolism
R03425__mito,111.61,1.2766,dlkcat,"Glycine, serine and threonine metabolism"
R00754__cyto,47.4375,329.436,dlkcat,Biosynthesis of antibiotics
R03197__cyto,40.88,4.9317,dlkcat,Porphyrin and chlorophyll metabolism
R03643__cyto,24.726667,13.7,default_13.7,
R02746__mito,171.82,13.7,default_13.7,Glycerophospholipid metabolism
R10953__cyto,62.22,71.7949,dlkcat,
R01054__cyto,23.25,3.9057,dlkcat,Purine metabolism
R01290__cyto,53.9,1.4176,dlkcat,Biosynthesis of antibiotics
R02715__mito,62.73,91.1756,dlkcat,
R04559__cyto,54.27,23.141,dlkcat,Biosynthesis of antibiotics
R02324__cyto,26.64,53.1476,dlkcat,Nicotinate and nicotinamide metabolism
R00754__mito,47.4375,329.436,dlkcat,Biosynthesis of antibiotics
R07505__cyto,48.855,2.5124,dlkcat,Biosynthesis of antibiotics
R04506__cyto,55.16,16.8924,dlkcat,
R03348__mito,32.51,0.0775,dlkcat,Nicotinate and nicotinamide metabolism
R04428__cyto,145.915,13.7,default_13.7,Fatty acid biosynthesis
R08575__cyto,35.65,102.9564,dlkcat,
R07762__pero,40.106667,13.7,default_13.7,Fatty acid biosynthesis
R01007__cyto,32.59,56.2035,dlkcat,
R04444__mito,65.19,4.6501,dlkcat,Arginine and proline metabolism
R00897__cyto,46.99,65.8572,dlkcat,Biosynthesis of antibiotics
R10147__cyto,32.4,13.239,dlkcat,Biosynthesis of antibiotics
R12657__mito,49.694167,82.1525,dlkcat,Ubiquinone and other terpenoid-quinone biosynthesis
R08639__cyto,88.37,12.5062,dlkcat,Biosynthesis of antibiotics
R02872__cyto,50.35,0.1233,dlkcat,Biosynthesis of antibiotics
R10700__cyto,262.47,13.7,default_13.7,Fatty acid biosynthesis
R01021__cyto,59.44,5.7954,dlkcat,Glycerophospholipid metabolism
R07389__cyto,32.89,121.4378,dlkcat,Ether lipid metabolism
R10089__cyto,28.705,39.123,dlkcat,Vitamin B6 metabolism
R11166__cyto,36.25,13.7,default_13.7,
R08306__cyto,47.4375,86.1815,dlkcat,Drug metabolism - cytochrome P450
R02091__cyto,60.835,47.2381,dlkcat,Pyrimidine metabolism
R02746__cyto,171.82,13.7,default_13.7,Glycerophospholipid metabolism
R03361__cyto,129.306667,13.7,default_13.7,Inositol phosphate metabolism
R07330__cyto,48.147692,38.8978,dlkcat,
R00126__cyto,33.92,13.7,default_13.7,Purine metabolism
R05578__cyto,58.33,5.985,dlkcat,Porphyrin and chlorophyll metabolism
R04887__cyto,29.59,0.2707,dlkcat,Tyrosine metabolism
R03530__cyto,16.88,1.4356,dlkcat,Purine metabolism
R04221__cyto,39.94,80.0723,dlkcat,Arginine and proline metabolism
R04001__cyto,85.6,7.2188,dlkcat,2-Oxocarboxylic acid metabolism
R07116__cyto,32.685,37.6148,dlkcat,Metabolism of xenobiotics by cytochrome P450
R02098__cyto,22.67,3.176,dlkcat,Pyrimidine metabolism
R03471__cyto,62.65,1.1366,dlkcat,Thiamine metabolism
R01775__cyto,45.33,25.7488,dlkcat,Biosynthesis of antibiotics
R00086__mito,86.975,13.7,default_13.7,Purine metabolism
R02096__cyto,60.835,47.2381,dlkcat,Pyrimidine metabolism
R02101__cyto,35.9,8.8597,dlkcat,Pyrimidine metabolism
