rxn_id,enzyme_id,flux,C_i,Ea_i_eV,Ea_kcat_eV,Ea_fN_eV,contrib,base,backbone
rxn03175_LSQBKT_c0_RSQBKT_,,0.009819201797536583,0.00011172079242838251,0.3482345461871365,0.3482519044227446,-1.735823560808941e-05,3.890697872680236e-05,rxn03175,
rxn00117_LSQBKT_c0_RSQBKT_,,0.02602465342471477,5.2595366883956274e-05,0.7396127395735221,0.7396131156180658,-3.760445438356722e-07,3.890022316811814e-05,rxn00117,
rxn01607_LSQBKT_c0_RSQBKT_,,0.00613752760920169,4.073729388265335e-05,0.9507465137542227,0.9507465300216624,-1.626743998163645e-08,3.8730840801405364e-05,rxn01607,
rxn01644_LSQBKT_c0_RSQBKT_,,0.03536015928214015,0.0001009510390392876,0.3733507697348956,0.37335187039893525,-1.1006640395718025e-06,3.7690259244033955e-05,rxn01644,
rxn01269_LSQBKT_c0_RSQBKT_,,0.008166755063023223,3.191616169129219e-05,1.1169513727655833,1.116951396481411,-2.37158279870822e-08,3.564880137141533e-05,rxn01269,
rxn02473_LSQBKT_c0_RSQBKT_,,0.009819201797536583,3.737691477434524e-05,0.9243454658632414,0.9243482025166323,-2.736653390858549e-06,3.454928398728338e-05,rxn02473,
rxn02811_LSQBKT_c0_RSQBKT_,,0.04650329840069287,0.00011629928416967417,0.2926734518918283,0.2926734578062279,-5.914399630597981e-09,3.403771363832764e-05,rxn02811,
rxn01501_LSQBKT_c0_RSQBKT_,,0.00613752760920169,9.890818418734071e-05,0.3183497537931131,0.3183499197767319,-1.6598361872204064e-07,3.148741250130214e-05,rxn01501,
rxn06937_LSQBKT_c0_RSQBKT_,,0.00613749475804341,4.693144172174257e-05,0.6647350460957112,0.6647350473054773,-1.2097660931899056e-09,3.11969741330168e-05,rxn06937,
rxn01964_LSQBKT_c0_RSQBKT_,,0.005847389834488075,4.7573986150517555e-05,0.624823894909182,0.6248238679666496,2.694253212514313e-08,2.9725362041158196e-05,rxn01964,
rxn03135_LSQBKT_c0_RSQBKT_,,0.009819201797536583,9.458830471098523e-05,0.3053155361809261,0.3053577841907007,-4.2248009774614555e-05,2.8883275136901266e-05,rxn03135,
rxn01739_LSQBKT_c0_RSQBKT_,,0.04108956227737967,3.2706216512856656e-05,0.8252174670472165,0.8252169330526012,5.339946152688666e-07,2.6989723682493914e-05,rxn01739,
rxn02320_LSQBKT_c0_RSQBKT_,,0.009819201797536583,7.00099687667155e-05,-0.38380494763062395,-0.3838049170318659,-3.059875804169936e-08,-2.6870170253912766e-05,rxn02320,
rxn00902_LSQBKT_c0_RSQBKT_,,0.04650329840069287,0.00011018012803232224,0.24026192676555744,0.24026192774397553,-9.784180755148377e-10,2.647208996012378e-05,rxn00902,
rxn03147_LSQBKT_c0_RSQBKT_,,0.024963746577830282,0.0002817182658043649,0.09165083299656288,0.09165251563101598,-1.682634453107196e-06,2.5820187760177266e-05,rxn03147,
rxn00800_LSQBKT_c0_RSQBKT_,,0.014776657154933912,0.00030475317488454223,0.08380685489623325,0.08380688080798979,-2.5911756487339657e-08,2.55404130034053e-05,rxn00800,
