line,step_sd,logL
axis:kappa_scale,-0.30000000000000004,2.3643166223999525
axis:kappa_scale,-0.25,2.3643166223999525
axis:kappa_scale,-0.2,2.3643166223999525
axis:kappa_scale,-0.15000000000000002,2.3643166223999525
axis:kappa_scale,-0.1,2.3643166223999525
axis:kappa_scale,-0.05,2.3643166223999525
axis:kappa_scale,0.0,2.3643166223999525
axis:kappa_scale,0.05,2.3643166223999525
axis:kappa_scale,0.1,2.3643166223999525
axis:kappa_scale,0.15000000000000002,2.3643166223999525
axis:kappa_scale,0.2,2.3643166223999525
axis:kappa_scale,0.25,2.3643166223999525
axis:kappa_scale,0.30000000000000004,2.3643166223999525
axis:kappa_scale,0.35000000000000003,2.3643166223999525
axis:kappa_scale,0.4,2.3643166223999525
axis:kappa_scale,0.45,2.3643166223999525
axis:kappa_scale,0.5,2.3643166223999525
axis:kappa_scale,0.55,2.3643166223999525
axis:kappa_scale,0.6000000000000001,2.3643166223999525
axis:kappa_scale,0.65,2.3643166223999525
axis:kappa_scale,0.7000000000000001,2.3643166223999525
axis:kappa_scale,0.75,2.3643166223999525
axis:kappa_scale,0.8,2.3643166223999525
axis:kappa_scale,0.8500000000000001,2.3643166223999525
axis:kappa_scale,0.9,2.3643166223999525
axis:kappa_scale,0.9500000000000001,2.3643166223999525
axis:kappa_scale,1.0,2.3643166223999525
axis:sigma,-1.0,-9.959978867833025
axis:sigma,-0.9500000000000001,-8.717255548674302
axis:sigma,-0.9,-7.5967505567766285
axis:sigma,-0.8500000000000001,-6.530106715411254
axis:sigma,-0.8,-5.599914219485021
axis:sigma,-0.75,-4.694627451121639
axis:sigma,-0.7000000000000001,-3.8181112388625125
axis:sigma,-0.65,-2.9899103486006986
axis:sigma,-0.6000000000000001,-2.22385188636502
axis:sigma,-0.55,-1.5043529509296092
axis:sigma,-0.5,-0.8060108439293681
axis:sigma,-0.45,-0.1917568093452502
axis:sigma,-0.4,0.2650944228004435
axis:sigma,-0.35000000000000003,0.6842596864328616
axis:sigma,-0.30000000000000004,1.0544167283437624
axis:sigma,-0.25,1.381598947704615
axis:sigma,-0.2,1.6648248180837175
axis:sigma,-0.15000000000000002,1.906145690012225
axis:sigma,-0.1,2.094151364277568
axis:sigma,-0.05,2.2470182259972846
axis:sigma,0.0,2.3643166223999525
axis:sigma,0.05,2.448826148413453
axis:sigma,0.1,2.499335133745812
axis:sigma,0.15000000000000002,2.512341145701313
axis:sigma,0.2,2.5064995152692364
axis:sigma,0.25,2.4680575269182388
axis:sigma,0.30000000000000004,2.4238964256235223
axis:sigma,0.35000000000000003,2.3478467873742295
axis:sigma,0.4,2.247274378342412
axis:sigma,0.45,2.1045739189677377
axis:sigma,0.5,1.9255448922568996
axis:sigma,0.55,1.7262445151000767
axis:sigma,0.6000000000000001,1.4827007375414327
axis:sigma,0.65,1.3300533071344116
axis:sigma,0.7000000000000001,1.1463677086941262
axis:sigma,0.75,1.0039878605127748
axis:sigma,0.8,0.8346525746947686
axis:sigma,0.8500000000000001,0.6479744421359519
axis:sigma,0.9,0.4580115210452256
axis:sigma,0.9500000000000001,0.28200127576443546
axis:sigma,1.0,0.1480306020058093
axis:f_metab,-1.0,2.3643166223999525
axis:f_metab,-0.9500000000000001,2.3643166223999525
axis:f_metab,-0.9,2.3643166223999525
axis:f_metab,-0.8500000000000001,2.3643166223999525
axis:f_metab,-0.8,2.3643166223999525
axis:f_metab,-0.75,2.3643166223999525
axis:f_metab,-0.7000000000000001,2.3643166223999525
axis:f_metab,-0.65,2.3643166223999525
axis:f_metab,-0.6000000000000001,2.3643166223999525
axis:f_metab,-0.55,2.3643166223999525
axis:f_metab,-0.5,2.3643166223999525
axis:f_metab,-0.45,2.3643166223999525
axis:f_metab,-0.4,2.3643166223999525
axis:f_metab,-0.35000000000000003,2.3643166223999525
axis:f_metab,-0.30000000000000004,2.3643166223999525
axis:f_metab,-0.25,2.3643166223999525
axis:f_metab,-0.2,2.3643166223999525
axis:f_metab,-0.15000000000000002,2.3643166223999525
axis:f_metab,-0.1,2.3643166223999525
axis:f_metab,-0.05,2.3643166223999525
axis:f_metab,0.0,2.3643166223999525
axis:f_metab,0.05,2.3643166223999525
axis:f_metab,0.1,2.3643166223999525
axis:f_metab,0.15000000000000002,2.3643166223999525
axis:f_metab,0.2,2.3643166223999525
axis:f_metab,0.25,2.3643166223999525
axis:f_metab,0.30000000000000004,2.3643166223999525
axis:f_metab,0.35000000000000003,2.3643166223999525
axis:f_metab,0.4,2.3643166223999525
axis:f_metab,0.45,2.3643166223999525
axis:f_metab,0.5,2.3643166223999525
axis:f_metab,0.55,2.3643166223999525
axis:f_metab,0.6000000000000001,2.3643166223999525
axis:f_metab,0.65,2.3643166223999525
axis:f_metab,0.7000000000000001,2.3643166223999525
axis:f_metab,0.75,2.3643166223999525
axis:f_metab,0.8,2.3643166223999525
axis:f_metab,0.8500000000000001,2.3643166223999525
axis:f_metab,0.9,2.3643166223999525
axis:f_metab,0.9500000000000001,2.3643166223999525
axis:f_metab,1.0,2.3643166223999525
axis:f_maint,-1.0,-15.91846189444555
axis:f_maint,-0.9500000000000001,-15.758792504201786
axis:f_maint,-0.9,-15.602858143439235
axis:f_maint,-0.8500000000000001,2.582718071842032
axis:f_maint,-0.8,2.581656413391387
