rung,experiment,strain,quantity,before,after,abs_change,rel_change
B1,transfer_candida_B1_unfolding,cparapsilosis_iDC1003,mu_38C,0.7744174718344323,0.7744174718344186,-1.3766765505351941e-14,1.7776930410339743e-14
B1,transfer_candida_B1_unfolding,cparapsilosis_iDC1003,mu_40C,0.7572839240273564,0.7572839240273407,-1.5765166949677223e-14,2.081803990481609e-14
B1,transfer_candida_B1_unfolding,cparapsilosis_iDC1003,mu_42C,0.7199242791108628,0.7199242791108574,-5.329070518200751e-15,7.402265311544127e-15
B1,transfer_candida_B1_unfolding,cparapsilosis_iDC1003,mu_44C,0.6686612906392548,0.66866129063925,-4.884981308350689e-15,7.305614033198392e-15
B1,transfer_candida_B1_unfolding,cparapsilosis_iDC1003,model_mu_22C,0.0873449590252803,0.0873449590252852,4.898859096158503e-15,5.608634030889663e-14
B1,transfer_candida_B1_unfolding,cparapsilosis_iDC1003,model_mu_24C,0.1381611580018825,0.1381611580018859,3.3861802251067274e-15,2.450891606641419e-14
B1,transfer_candida_B1_unfolding,cparapsilosis_iDC1003,model_mu_26C,0.1973386877472062,0.1973386877472038,-2.3869795029440866e-15,1.2095851706492763e-14
B1,transfer_candida_B1_unfolding,cparapsilosis_iDC1003,model_mu_28C,0.2562944696479595,0.256294469647957,-2.4980018054066022e-15,9.746608301138152e-15
B1,transfer_candida_B1_unfolding,cparapsilosis_iDC1003,model_mu_30C,0.3078899768007753,0.3078899768007702,-5.10702591327572e-15,1.6587178206779677e-14
B1,transfer_candida_B1_unfolding,cparapsilosis_iDC1003,model_mu_32C,0.3536950238123548,0.3536950238123522,-2.609024107869118e-15,7.376479543724875e-15
B1,transfer_candida_B1_unfolding,cparapsilosis_iDC1003,model_mu_34C,0.3842965628033608,0.3842965628033555,-5.2735593669694936e-15,1.3722629545526018e-14
B1,transfer_candida_B1_unfolding,cparapsilosis_iDC1003,model_mu_38C,0.4038308924586543,0.4038308924586523,-1.9984014443252818e-15,4.948609632508205e-15
B1,transfer_candida_B1_unfolding,cparapsilosis_iDC1003,model_mu_40C,0.3948963627591568,0.3948963627591537,-3.1086244689504383e-15,7.872000763011221e-15
B1,transfer_candida_B1_unfolding,cparapsilosis_iDC1003,model_mu_42C,0.3754146499914578,0.3754146499914598,1.9984014443252818e-15,5.3231844957855365e-15
