rxn_id,enzyme_id,group,u_sub_29C,u_opt_39C,u_supra_43.95C
SHCHFNo1,P0AEA8,default,5.067995075486106e-07,5.521657594681387e-07,1.1633577158573262e-05
AACPS7No1,P0A6A8,default,0.00816530354084534,0.003265367940214007,0.004362022235761959
ECOAH7No1,P77399,default,5.9538782343534545e-06,4.992377877836909e-06,3.650123722220435e-06
GCALDDNo1,P25553,default,1.2699732546768122e-07,9.013005927738426e-08,6.090054872918058e-08
UPP3MTNo1,P0AEA8,default,5.067995075486106e-07,5.521657594681387e-07,1.1633577158573262e-05
DHQSNo1,P07639,default,2.6149731957069797e-09,2.510690638687708e-09,2.1179622949037286e-09
DASYN160No1,P0ABG1,default,0.000523365963438771,0.0004202796510083482,0.0003066858739246737
DASYN161No1,P0ABG1,default,0.0006168622492569613,0.0004953601665926272,0.00036147352181919973
FACOAE161No1,P0AGG2,default,7.296705042583149e-05,9.106272155498752e-05,9.077244537009248e-05
MPTGNo4,P0ABG4,default,1.7207034246402294e-05,1.650011072419946e-05,1.3052953068118678e-05
RPINo2,P37351,default,2.6418283998289696e-06,5.790525999701972e-07,4.4887680605109804e-07
MCTP1AppNo1,P02918,default,0.0015474868721754075,0.0009991375769437649,0.0006457248428126838
5DOANNo1,P0AF12,default,6.135559377516613e-06,5.0412473278272144e-06,3.7129135086447254e-06
K2L4AabcppNo1,P60752,default,9.523472429854311e-06,8.081634747620573e-06,5.952031504638589e-06
FACOAE120No1,P0AGG2,default,3.774953952947529e-05,4.711134391400104e-05,4.696116938656419e-05
PSSA161No1,P23830,default,2.7988045813518364e-05,2.272907929009455e-05,1.742252411187643e-05
PSD160No1,P0A8K1,default,1.7789324389474533e-05,1.239362084467452e-05,8.301639587274677e-06
PSD161No1,P0A8K1,default,2.0967283740714227e-05,1.4607669135477319e-05,9.784679222698429e-06
FADRx2No1,P17846,default,0.0006073680356924367,0.0011857687536625736,0.0
