reaction,members,name,costed,reversible,is_atp_synthase,translocates,kind,ion_per_flux_to_outer,flux,ion_to_outer,reaction_string,strain,T_C,kcat_scale
R12404__cyto,R12404__cyto,"4alpha-Carboxy-5alpha-cholesta-8,24-dien-3beta-ol + NADP+ <=> Zymosterone + NADPH + H+ + C",True,True,False,False,redox,1.0,0.011670156463681237,0.011670156463681237,C00006__cyto + C22112__cyto <=> C00005__cyto + C00011__cyto + C00080__cyto + C22136__cyto,cduobushaemulonii_draft,40.0,1.0
R05639__cyto,R05639__cyto,"14-Demethyllanosterol + NADP+ <=> 4,4-Dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol + NA",True,True,False,False,redox,1.0,-0.011670156463681237,-0.011670156463681237,C00006__cyto + C05108__cyto <=> C00005__cyto + C00080__cyto + C11455__cyto,cduobushaemulonii_draft,40.0,1.0
R07494__cyto,R07494__cyto,4alpha-Methylzymosterol-4-carboxylate + NADP+ <=> 3-Keto-4-methylzymosterol + NADPH + H+ +,True,True,False,False,redox,1.0,0.011670156463681237,0.011670156463681237,C00006__cyto + C15808__cyto <=> C00005__cyto + C00011__cyto + C00080__cyto + C15816__cyto,cduobushaemulonii_draft,40.0,1.0
R12405__cyto,R12405__cyto,Zymosterone + NADPH + H+ <=> Zymosterol + NADP+,True,True,False,False,redox,-1.0,0.011670156463681237,-0.011670156463681237,C00005__cyto + C00080__cyto + C22136__cyto <=> C00006__cyto + C05437__cyto,cduobushaemulonii_draft,40.0,1.0
R07495__cyto,R07495__cyto,3-Keto-4-methylzymosterol + NADPH + H+ <=> 4alpha-Methylzymosterol + NADP+,True,True,False,False,redox,-1.0,0.011670156463681237,-0.011670156463681237,C00005__cyto + C00080__cyto + C15816__cyto <=> C00006__cyto + C05103__cyto,cduobushaemulonii_draft,40.0,1.0
R07506__cyto,R07506__cyto,"5,7,24(28)-Ergostatrienol + NADPH + H+ + Oxygen => Ergosta-5,7,22,24(28)-tetraen-3beta-ol ",True,False,False,False,redox,-1.0,0.010774019583056694,-0.010774019583056694,C00005__cyto + C00007__cyto + C00080__cyto + C15778__cyto --> 2.0 C00001__cyto + C00006__cyto + C05440__cyto,cduobushaemulonii_draft,40.0,1.0
R05641__cyto,R05641__cyto,"NADP+ + Ergosterol <=> NADPH + Ergosta-5,7,22,24(28)-tetraen-3beta-ol + H+",True,True,False,False,redox,1.0,-0.009517115062703656,-0.009517115062703656,C00006__cyto + C01694__cyto <=> C00005__cyto + C00080__cyto + C05440__cyto,cduobushaemulonii_draft,40.0,1.0
R01039__cyto,R01039__cyto,NADP+ + Glycerol <=> NADPH + H+ + Glycerone,True,True,False,False,redox,1.0,-0.009458746115667627,-0.009458746115667627,C00006__cyto + C00116__cyto <=> C00005__cyto + C00080__cyto + C00184__cyto,cduobushaemulonii_draft,40.0,1.0
TI1000023_PLAS__plas,TI1000023_PLAS__plas,1.0 L-Glutamate (cyto) + 1.0 H+ (cyto) => 1.0 L-Glutamate (extr) + 1.0 H+ (extr),False,False,False,True,carrier,-1.0,0.00844622072509915,-0.00844622072509915,C00025__cyto + C00080__cyto --> C00025__extr + C00080__extr,cduobushaemulonii_draft,40.0,1.0
R00519__cyto,R00519__cyto,Formate + NAD+ => H+ + CO2 + NADH,True,False,False,False,redox,1.0,0.007774878779370584,0.007774878779370584,C00003__cyto + C00058__cyto --> C00004__cyto + C00011__cyto + C00080__cyto,cduobushaemulonii_draft,40.0,1.0
TO1000039_PLAS__plas,TO1000039_PLAS__plas,1.0 L-Lysine (extr) + 1.0 H+ (extr) => 1.0 H+ (cyto) + 1.0 L-Lysine (cyto),False,False,False,True,carrier,1.0,0.006735743891147672,0.006735743891147672,C00047__extr + C00080__extr --> C00047__cyto + C00080__cyto,cduobushaemulonii_draft,40.0,1.0
R07763__cyto,R07763__cyto,3-Oxostearoyl-[acp] + NADPH + H+ <=> (R)-3-Hydroxyoctadecanoyl-[acp] + NADP+,True,True,False,False,redox,-1.0,0.005419080216772501,-0.005419080216772501,C00005__cyto + C00080__cyto + C16219__cyto <=> C00006__cyto + C16220__cyto,cduobushaemulonii_draft,40.0,1.0
R07765__cyto,R07765__cyto,(2E)-Octadecenoyl-[acp] + NADH + H+ <=> Octadecanoyl-[acyl-carrier protein] + NAD+,True,True,False,False,redox,-1.0,0.005419080216772501,-0.005419080216772501,C00004__cyto + C00080__cyto + C16221__cyto <=> C00003__cyto + C04088__cyto,cduobushaemulonii_draft,40.0,1.0
TO1000119_PLAS__plas,TO1000119_PLAS__plas,1.0 L-Histidine (extr) + 1.0 H+ (extr) => 1.0 L-Histidine (cyto) + 1.0 H+ (cyto),False,False,False,True,carrier,1.0,0.005181938742937175,0.005181938742937175,C00080__extr + C00135__extr --> C00080__cyto + C00135__cyto,cduobushaemulonii_draft,40.0,1.0
R00835__cyto,R00835__cyto,"D-Glucose 6-phosphate + NADP+ => D-Glucono-1,5-lactone 6-phosphate + NADPH + H+",True,False,False,False,redox,1.0,0.004795716222938069,0.004795716222938069,C00006__cyto + C00092__cyto --> C00005__cyto + C00080__cyto + C01236__cyto,cduobushaemulonii_draft,40.0,1.0
R01528__cyto,R01528__cyto,6-Phospho-D-gluconate + NADP+ => D-Ribulose 5-phosphate + CO2 + NADPH + H+,True,False,False,False,redox,1.0,0.004795716222938069,0.004795716222938069,C00006__cyto + C00345__cyto --> C00005__cyto + C00011__cyto + C00080__cyto + C00199__cyto,cduobushaemulonii_draft,40.0,1.0
TO1000404_PLAS__plas,TO1000404_PLAS__plas,1.0 D-Ornithine (extr) + 1.0 H+ (extr) => 1.0 D-Ornithine (cyto) + 1.0 H+ (cyto),False,False,False,True,carrier,1.0,0.00469014709990389,0.00469014709990389,C00080__extr + C00515__extr --> C00080__cyto + C00515__cyto,cduobushaemulonii_draft,40.0,1.0
R02756__cyto,R02756__cyto,1-Acyl-sn-glycerol 3-phosphate + NADP+ <=> Acylglycerone phosphate + NADPH + H+,True,True,False,False,redox,1.0,-0.004381257263079751,-0.004381257263079751,C00006__cyto + C00681__cyto <=> C00005__cyto + C00080__cyto + C03372__cyto,cduobushaemulonii_draft,40.0,1.0
R02472__cyto,R02472__cyto,(R)-Pantoate + NADP+ <=> 2-Dehydropantoate + NADPH + H+,True,True,False,False,redox,1.0,-0.004168612740450931,-0.004168612740450931,C00006__cyto + C00522__cyto <=> C00005__cyto + C00080__cyto + C00966__cyto,cduobushaemulonii_draft,40.0,1.0
TI1000644_PLAS__plas,TI1000644_PLAS__plas,1.0 H+ (cyto) + 1.0 Pantothenate (cyto) => 1.0 Pantothenate (extr) + 1.0 H+ (extr),False,False,False,True,carrier,-1.0,0.004157295250612555,-0.004157295250612555,C00080__cyto + C00864__cyto --> C00080__extr + C00864__extr,cduobushaemulonii_draft,40.0,1.0
