rxn_id,mw_kDa,kcat_s,source,group
R00621__mito,114.52,14.38,dlkcat,Citrate cycle (TCA cycle)
R03084__cyto,93.7,9.4137,dlkcat,Biosynthesis of antibiotics
R07411__cyto,46.38,0.6103,dlkcat,Porphyrin and chlorophyll metabolism
R00867__cyto,53.923333,27.5514,dlkcat,Fructose and mannose metabolism
R07491__cyto,42.42,3.2457,dlkcat,Steroid biosynthesis
R01083__cyto,54.3,29.1335,dlkcat,"Alanine, aspartate and glutamate metabolism"
R02978__cyto,35.9,0.582,dlkcat,Sphingolipid metabolism
R02035__cyto,32.65,15.4884,dlkcat,Biosynthesis of antibiotics
R12427__mito,62.095,13.7,default_13.7,Lipoic acid metabolism
R00342__mito,34.54,132.5453,dlkcat,Biosynthesis of antibiotics
R00428__cyto,31.64,13.7,default_13.7,Folate biosynthesis
R12152__cyto,64.28,16.4781,dlkcat,
R02694__cyto,62.095,13.7,default_13.7,
R04725__cyto,135.89,13.7,default_13.7,Fatty acid biosynthesis
R03363__cyto,58.688571,13.7,default_13.7,Inositol phosphate metabolism
R00651__cyto,50.2,11.2773,dlkcat,
R07509__cyto,36.03,0.5096,dlkcat,Biosynthesis of antibiotics
R04945__cyto,66.65,2.2359,dlkcat,
R02665__cyto,19.42,0.3036,dlkcat,Tryptophan metabolism
R00402__cyto,42.41,0.2359,dlkcat,Carbon fixation pathways in prokaryotes
R00782__cyto,43.82,34.4832,dlkcat,Cysteine and methionine metabolism
R07981__cyto,33.92,1.7105,dlkcat,Microbial metabolism in diverse environments
R09877__cyto,69.56,2.1746,dlkcat,
R00870__cyto,45.6025,26.8925,dlkcat,Fructose and mannose metabolism
R00127__mito,27.523333,13.7,default_13.7,Biosynthesis of antibiotics
R03650__cyto,86.92,33.7687,dlkcat,Aminoacyl-tRNA biosynthesis
R00342__cyto,34.54,132.5453,dlkcat,Biosynthesis of antibiotics
R07762__cyto,40.083333,13.7,default_13.7,Fatty acid biosynthesis
R06590__cyto,73.8,2.9575,dlkcat,Biosynthesis of antibiotics
R01899__mito,46.725,5.0511,dlkcat,2-Oxocarboxylic acid metabolism
R04953__cyto,152.495,13.7,default_13.7,Fatty acid biosynthesis
R03921__cyto,56.79,47.8675,dlkcat,Starch and sucrose metabolism
R02408__cyto,43.82,63.0642,dlkcat,Cysteine and methionine metabolism
R09420__cyto,44.964,37.0264,dlkcat,Metabolism of xenobiotics by cytochrome P450
R00778__cyto,25.53,1.6958,dlkcat,Microbial metabolism in diverse environments
R04543__cyto,152.495,13.7,default_13.7,Fatty acid biosynthesis
R12152__mito,64.28,16.4781,dlkcat,
R03968__cyto,85.78,5.7278,dlkcat,2-Oxocarboxylic acid metabolism
R00181__cyto,87.66,13.7,default_13.7,Biosynthesis of antibiotics
R02297__cyto,33.19,11.3195,dlkcat,Purine metabolism
R03469__cyto,72.44,13.7,default_13.7,Inositol phosphate metabolism
R00702__cyto,50.23,0.8679,dlkcat,Biosynthesis of antibiotics
R01954__cyto,46.09,6.8415,dlkcat,Biosynthesis of antibiotics
R00529__cyto,60.11,20.1592,dlkcat,Biosynthesis of antibiotics
R11218__mito,54.23,13.7,default_13.7,
R00710__mito,55.306667,16.3985,dlkcat,Biosynthesis of antibiotics
R04762__cyto,29.65,0.5599,dlkcat,Steroid hormone biosynthesis
R03528__cyto,45.0,13.7,default_13.7,
R01074__cyto,75.8,1.4969,dlkcat,Biotin metabolism
R03596__cyto,34.71,1.5681,dlkcat,Selenocompound metabolism
R07951__pero,73.98,194.8517,dlkcat,Fatty acid metabolism
R12085__cyto,62.095,63.3863,dlkcat,Arginine and proline metabolism
R00494__cyto,63.55,9.5979,dlkcat,Glutathione metabolism
R06366__cyto,55.306667,18.1531,dlkcat,Limonene and pinene degradation
R06527__cyto,46.145,10.4855,dlkcat,Sphingolipid metabolism
R00114__cyto,234.7,15.7923,dlkcat,Biosynthesis of antibiotics
R03654__cyto,73.36,2.2683,dlkcat,Aminoacyl-tRNA biosynthesis
